製品,製品単位,部品,必要量,部品単位,行番,不要
4/039428PX,反,J/039428PX,1,反,1,1
4/039428PX,反,3/W1921,9.98,K,2,2
4/039428PX,反,3/E4314,5.02,K,3,3
4/076410CB,反,J/076410CB,1,反,1,1
4/076410CB,反,3/D2606,8.29,K,2,2
4/076410CC,反,J/076410CC,1,反,1,1
4/076410CC,反,3/D2606,8.29,K,2,2
4/076410CX,反,J/076410CX,1,反,1,1
4/076410CX,反,3/D2606,8.29,K,2,2
4/078019BA,反,J/078019BA,1,反,1,1
4/078019BA,反,3/G4024,12.26,K,2,2
4/078019VA,反,J/078019VA,1,反,1,1
4/078019VA,反,3/G4044,12.26,K,2,2
4/078019VB,反,J/078019VB,1,反,1,1
4/078019VB,反,3/G4084,12.26,K,2,2
4/078019VX,反,J/078019VX,1,反,1,1
4/078019VX,反,3/G4044,12.26,K,2,2
4/079664CB,反,J/079664CB,1,反,1,1
4/079664CB,反,3/J3935,6.13,K,2,2
4/079664FX,反,J/079664FX,1,反,1,1
4/079664FX,反,3/J3955,6.02,K,2,2
4/097064CX,反,J/097064CX,1,反,1,1
4/097064CX,反,3/B7085,5.88,K,2,2
4/097064CX,反,3/B9707,3.76,K,3,3
4/097064JD,反,J/097064JD,1,反,1,1
4/097064JD,反,3/B7085,5.72,K,2,2
4/097064JD,反,3/B9727,3.6,K,3,3
4/097402XX,反,J/097402XX,1,反,1,1
4/097402XX,反,3/D0484,9.11,K,2,2
4/097763JE,反,J/097763JE,1,反,1,1
4/097763JE,反,3/F2017,4.61,K,2,2
4/098262JC,反,J/098262JC,1,反,1,1
4/098262JC,反,3/F2017,3.83,K,2,2
4/098284HC,反,J/098284HC,1,反,1,1
4/098284HC,反,3/G4044,17.64,K,2,2
4/098477YX,反,J/098477YX,1,反,1,1
4/098477YX,反,3/B8147,5.15,K,2,2
4/098477YX,反,3/B8157,5.15,K,3,3
4/098706ZX,反,J/098706ZX,1,反,1,1
4/098706ZX,反,3/B0596,12.43,K,2,2
4/098761PX,反,J/098761PX,1,反,1,1
4/098761PX,反,3/B8127,4.99,K,2,2
4/098761PX,反,3/B8137,4.99,K,3,3
4/098761XX,反,J/098761XX,1,反,1,1
4/098761XX,反,3/B8127,5.07,K,2,2
4/098761XX,反,3/B8137,5.07,K,3,3
4/098774JA,反,J/098774JA,1,反,1,1
4/098774JA,反,3/D2606,8.54,K,2,2
4/098810VX,反,J/098810VX,1,反,1,1
4/098810VX,反,3/G4044,12.66,K,2,2
4/098810ZX,反,J/098810ZX,1,反,1,1
4/098810ZX,反,3/G4024,11.18,K,2,2
4/099201JA,反,J/099201JA,1,反,1,1
4/099201JA,反,3/J3905,5.36,K,2,2
4/099268YX,反,J/099268YX,1,反,1,1
4/099268YX,反,3/B1808,7.02,K,2,2
4/099268YX,反,3/B1818,7.02,K,3,3
4/099401JA,反,J/099401JA,1,反,1,1
4/099401JA,反,3/B7085,5.85,K,2,2
4/099401JA,反,3/B9707,3.72,K,3,3
4/099401JX,反,J/099401JX,1,反,1,1
4/099401JX,反,3/B7085,5.85,K,2,2
4/099401JX,反,3/B9727,3.72,K,3,3
4/099442VX,反,J/099442VX,1,反,1,1
4/099442VX,反,3/B8887,2.4,K,2,2
4/099442VX,反,3/B8897,2.4,K,3,3
4/099442VX,反,3/D0455,6.54,K,4,4
4/099453ZX,反,J/099453ZX,1,反,1,1
4/099453ZX,反,3/F1468,6.31,K,2,2
4/099453ZX,反,3/G1936,6.4,K,3,3
4/099510ZX,反,J/099510ZX,1,反,1,1
4/099510ZX,反,3/D0655,7.08,K,2,2
4/099533YA,反,J/099533YA,1,反,1,1
4/099533YA,反,3/G4084,6.52,K,2,2
4/099533YA,反,3/B6207,3.32,K,3,3
4/099536YX,反,J/099536YX,1,反,1,1
4/099536YX,反,3/D0897,10.67,K,2,2
4/099538LX,反,J/099538LX,1,反,1,1
4/099538LX,反,3/D3833,11.72,K,2,2
4/099542LA,反,J/099542LA,1,反,1,1
4/099542LA,反,3/J6864,11.32,K,2,2
4/099556ZX,反,J/099556ZX,1,反,1,1
4/099556ZX,反,3/B9847,5.8,K,2,2
4/099556ZX,反,3/B9857,5.8,K,3,3
4/099574LX,反,J/099574LX,1,反,1,1
4/099574LX,反,3/A6468,14.28,K,2,2
4/099614YX,反,J/099614YX,1,反,1,1
4/099614YX,反,3/B1928,6.7,K,2,2
4/099614YX,反,3/B1938,6.7,K,3,3
4/099683YX,反,J/099683YX,1,反,1,1
4/099683YX,反,3/B1705,11.15,K,2,2
4/099706YA,反,J/099706YA,1,反,1,1
4/099706YA,反,3/G4064,10.81,K,2,2
4/099707YA,反,J/099707YA,1,反,1,1
4/099707YA,反,3/G4064,15.41,K,2,2
4/099709LA,反,J/099709LA,1,反,1,1
4/099709LA,反,3/J6524,11.66,K,2,2
4/099762YX,反,J/099762YX,1,反,1,1
4/099762YX,反,3/D0897,9.27,K,2,2
4/099779YX,反,J/099779YX,1,反,1,1
4/099779YX,反,3/B1705,11.51,K,2,2
4/099808LA,反,J/099808LA,1,反,1,1
4/099808LA,反,3/D3896,7.67,K,2,2
4/099812YX,反,J/099812YX,1,反,1,1
4/099812YX,反,3/B1705,12.06,K,2,2
4/099818JX,反,J/099818JX,1,反,1,1
4/099818JX,反,3/B6636,9.92,K,2,2
4/099819JX,反,J/099819JX,1,反,1,1
4/099819JX,反,3/B6636,10.04,K,2,2
4/099830YA,反,J/099830YA,1,反,1,1
4/099830YA,反,3/B3627,5.55,K,2,2
4/099838YX,反,J/099838YX,1,反,1,1
4/099838YX,反,3/J6524,6.66,K,2,2
4/099838YX,反,3/B4257,4.94,K,3,3
4/099847JX,反,J/099847JX,1,反,1,1
4/099847JX,反,3/B9867,1.82,K,2,2
4/099847JX,反,3/B9877,1.82,K,3,3
4/099879JX,反,J/099879JX,1,反,1,1
4/099879JX,反,3/A1605,5.58,K,2,2
4/099900JX,反,J/099900JX,1,反,1,1
4/099900JX,反,3/A1206,8.12,K,2,2
4/102144BB,反,J/102144BB,1,反,1,1
4/102144BB,反,3/A7596,5.21,K,2,2
4/102633ZX,反,J/102633ZX,1,反,1,1
