製品,製品単位,部品,必要量,部品単位,行番,不要
3/091AA,K,N/091AA,1,K,1,1
3/091AA,K,1/85171,1.01,K,2,2
3/103LA,K,N/103LA,1,K,1,1
3/103LA,K,1/13241,1.02,K,2,2
3/111RA,K,N/111RA,1,K,1,1
3/111RA,K,1/15791,1.02,K,2,2
3/124WA,K,N/124WA,1,K,1,1
3/124WA,K,1/15381,1.01,K,2,2
3/182LA,K,N/182LA,1,K,1,1
3/182LA,K,1/16801,1.02,K,2,2
3/187TA,K,N/187TA,1,K,1,1
3/187TA,K,1/60011,1.02,K,2,2
3/187US,K,N/187US,1,K,1,1
3/187US,K,1/60011,1.02,K,2,2
3/189DA,K,N/189DA,1,K,1,1
3/189DA,K,1/17731,1.02,K,2,2
3/202DA,K,N/202DA,1,K,1,1
3/202DA,K,1/70041,1.02,K,2,2
3/202EA,K,N/202EA,1,K,1,1
3/202EA,K,1/70061,1.02,K,2,2
3/205CA,K,N/205CA,1,K,1,1
3/205CA,K,1/20341,1.02,K,2,2
3/256JA,K,N/256JA,1,K,1,1
3/256JA,K,1/70001,0.38,K,2,2
3/256JA,K,1/16771,0.63,K,3,3
3/256NA,K,N/256NA,1,K,1,1
3/256NA,K,1/70051,0.42,K,2,2
3/256NA,K,1/16791,0.65,K,3,3
3/256QA,K,N/256QA,1,K,1,1
3/256QA,K,1/70071,0.42,K,2,2
3/256QA,K,1/16821,0.65,K,3,3
3/262PA,K,N/262PA,1,K,1,1
3/262PA,K,1/17731,0.69,K,2,2
3/262PA,K,1/16791,0.39,K,3,3
3/262QA,K,N/262QA,1,K,1,1
3/262QA,K,1/17731,0.69,K,2,2
3/262QA,K,1/16821,0.39,K,3,3
3/264KA,K,N/264KA,1,K,1,1
3/264KA,K,1/12831,0.27,K,2,2
3/264KA,K,1/18511,0.8,K,3,3
3/270MA,K,N/270MA,1,K,1,1
3/270MA,K,1/70061,0.27,K,2,2
3/270MA,K,1/17901,0.8,K,3,3
3/270NA,K,N/270NA,1,K,1,1
3/270NA,K,1/70071,0.27,K,2,2
3/270NA,K,1/17911,0.8,K,3,3
3/278KA,K,N/278KA,1,K,1,1
3/278KA,K,1/12271,0.25,K,2,2
3/278KA,K,1/18511,0.82,K,3,3
3/293RA,K,N/293RA,1,K,1,1
3/293RA,K,3/262PA,1,K,2,2
3/293TA,K,N/293TA,1,K,1,1
3/293TA,K,3/262QA,1,K,2,2
3/320GA,K,N/320GA,1,K,1,1
3/320GA,K,1/15791,0.42,K,2,2
3/320GA,K,1/17731,0.65,K,3,3
3/342BA,K,N/342BA,1,K,1,1
3/342BA,K,1/60001,1.02,K,2,2
3/353MA,K,N/353MA,1,K,1,1
3/353MA,K,1/13261,0.61,K,2,2
3/353MA,K,1/12241,0.47,K,3,3
3/353VA,K,N/353VA,1,K,1,1
3/353VA,K,1/13261,0.61,K,2,2
3/353VA,K,1/12261,0.47,K,3,3
3/371WA,K,N/371WA,1,K,1,1
3/371WA,K,1/15051,1.02,K,2,2
3/404AA,K,N/404AA,1,K,1,1
3/404AA,K,1/17891,0.72,K,2,2
3/404AA,K,1/70031,0.38,K,3,3
3/404BA,K,N/404BA,1,K,1,1
3/404BA,K,1/18511,0.72,K,2,2
3/404BA,K,1/70061,0.38,K,3,3
3/430GA,K,N/430GA,1,K,1,1
3/430GA,K,1/13241,0.49,K,2,2
3/430GA,K,1/25871,0.61,K,3,3
3/430HA,K,N/430HA,1,K,1,1
3/430HA,K,1/13241,0.49,K,2,2
3/430HA,K,1/85141,0.61,K,3,3
3/432EA,K,N/432EA,1,K,1,1
3/432EA,K,1/13251,0.28,K,2,2
3/432EA,K,1/25421,0.74,K,3,3
3/432FA,K,N/432FA,1,K,1,1
3/432FA,K,1/13241,0.32,K,2,2
3/432FA,K,1/25421,0.78,K,3,3
3/432GA,K,N/432GA,1,K,1,1
3/432GA,K,1/13241,0.32,K,2,2
3/432GA,K,1/85151,0.78,K,3,3
3/461BA,K,N/461BA,1,K,1,1
3/461BA,K,1/12391,0.42,K,2,2
3/461BA,K,1/85141,0.68,K,3,3
3/507JA,K,N/507JA,1,K,1,1
3/507JA,K,3/B2093,1.02,K,2,2
3/507KA,K,N/507KA,1,K,1,1
3/507KA,K,3/B2083,1.02,K,2,2
3/508AA,K,N/508AA,1,K,1,1
3/508AA,K,3/B2163,1.01,K,2,2
3/552CA,K,N/552CA,1,K,1,1
3/552CA,K,1/12271,0.43,K,2,2
3/552CA,K,1/16711,0.64,K,3,3
3/558CA,K,N/558CA,1,K,1,1
3/558CA,K,1/12391,0.29,K,2,2
3/558CA,K,1/17731,0.78,K,3,3
3/570AA,K,N/570AA,1,K,1,1
3/570AA,K,1/12241,0.43,K,2,2
3/570AA,K,1/16801,0.65,K,3,3
3/579AA,K,N/579AA,1,K,1,1
3/579AA,K,1/12241,0.41,K,2,2
3/579AA,K,1/16721,0.66,K,3,3
3/579FA,K,N/579FA,1,K,1,1
3/579FA,K,1/12241,0.41,K,2,2
3/579FA,K,1/16791,0.66,K,3,3
3/581AA,K,N/581AA,1,K,1,1
3/581AA,K,1/11151,0.33,K,2,2
3/581AA,K,1/16711,0.74,K,3,3
3/581BA,K,N/581BA,1,K,1,1
3/581BA,K,1/11151,0.33,K,2,2
3/581BA,K,1/16801,0.74,K,3,3
3/582JA,K,N/582JA,1,K,1,1
3/582JA,K,3/124WA,0.67,K,2,2
3/582JA,K,3/202DA,0.34,K,3,3
3/582KA,K,N/582KA,1,K,1,1
3/582KA,K,3/124WA,0.67,K,2,2
3/582KA,K,3/202EA,0.34,K,3,3
3/683AA,K,N/683AA,1,K,1,1
3/683AA,K,3/A3071,1.01,K,2,2
3/A0221,K,N/A0221,1,K,1,1
