製品,製品単位,部品,必要量,部品単位,行番,不要
5/039428PX,反,E/039428PX,1,反,1,0.5
5/039428PX,反,O/039428PX,1,反,2,1
5/039428PX,反,3/W1921,9.21,K,3,3
5/039428PX,反,3/E4314,4.63,K,4,4
5/039428PX,反,4/039428PX,1,反,5,9
5/076410CB,反,E/076410CB,1,反,1,0.5
5/076410CB,反,O/076410CB,1,反,2,1
5/076410CB,反,3/H3504,4.09,K,3,3
5/076410CB,反,3/J6484,4.3,K,4,4
5/076410CB,反,4/076410CB,1,反,5,9
5/076410CC,反,E/076410CC,1,反,1,0.5
5/076410CC,反,O/076410CC,1,反,2,1
5/076410CC,反,3/H3544,4.09,K,3,3
5/076410CC,反,3/J6484,4.3,K,4,4
5/076410CC,反,4/076410CC,1,反,5,9
5/076410CX,反,E/076410CX,1,反,1,0.5
5/076410CX,反,O/076410CX,1,反,2,1
5/076410CX,反,3/H3504,4.09,K,3,3
5/076410CX,反,3/J6544,4.3,K,4,4
5/076410CX,反,4/076410CX,1,反,5,9
5/078019BA,反,E/078019BA,1,反,1,0.5
5/078019BA,反,O/078019BA,1,反,2,1
5/078019BA,反,3/G4024,11.43,K,3,3
5/078019BA,反,4/078019BA,1,反,4,9
5/078019VA,反,E/078019VA,1,反,1,0.5
5/078019VA,反,O/078019VA,1,反,2,1
5/078019VA,反,3/G4084,11.43,K,3,3
5/078019VA,反,4/078019VA,1,反,4,9
5/078019VB,反,E/078019VB,1,反,1,0.5
5/078019VB,反,O/078019VB,1,反,2,1
5/078019VB,反,3/G4084,11.43,K,3,3
5/078019VB,反,4/078019VB,1,反,4,9
5/078019VX,反,E/078019VX,1,反,1,0.5
5/078019VX,反,O/078019VX,1,反,2,1
5/078019VX,反,3/G4044,11.43,K,3,3
5/078019VX,反,4/078019VX,1,反,4,9
5/079664CB,反,E/079664CB,1,反,1,0.5
5/079664CB,反,O/079664CB,1,反,2,1
5/079664CB,反,3/J3935,9.34,K,3,3
5/079664CB,反,4/079664CB,1,反,4,9
5/079664FX,反,E/079664FX,1,反,1,0.5
5/079664FX,反,O/079664FX,1,反,2,1
5/079664FX,反,3/J3955,9.18,K,3,3
5/079664FX,反,4/079664FX,1,反,4,9
5/097064CX,反,E/097064CX,1,反,1,0.5
5/097064CX,反,O/097064CX,1,反,2,1
5/097064CX,反,3/B9707,2.1,K,3,3
5/097064CX,反,3/B9717,2.1,K,4,4
5/097064CX,反,4/097064CX,1,反,5,9
5/097064JD,反,E/097064JD,1,反,1,0.5
5/097064JD,反,O/097064JD,1,反,2,1
5/097064JD,反,3/B9727,1.96,K,3,3
5/097064JD,反,3/B9737,1.96,K,4,4
5/097064JD,反,4/097064JD,1,反,5,9
5/097402XX,反,E/097402XX,1,反,1,0.5
5/097402XX,反,O/097402XX,1,反,2,1
5/097402XX,反,3/B7787,3.18,K,3,3
5/097402XX,反,3/B7797,3.18,K,4,4
5/097402XX,反,4/097402XX,1,反,5,9
5/097763JE,反,E/097763JE,1,反,1,0.5
5/097763JE,反,O/097763JE,1,反,2,1
5/097763JE,反,3/F2017,6.37,K,3,3
5/097763JE,反,4/097763JE,1,反,4,9
5/098262JC,反,E/098262JC,1,反,1,0.5
5/098262JC,反,O/098262JC,1,反,2,1
5/098262JC,反,3/F2017,6.9,K,3,3
5/098262JC,反,4/098262JC,1,反,4,9
5/098284HC,反,E/098284HC,1,反,1,0.5
5/098284HC,反,O/098284HC,1,反,2,1
5/098284HC,反,3/G4044,10.55,K,3,3
5/098284HC,反,4/098284HC,1,反,4,9
5/098477YX,反,E/098477YX,1,反,1,0.5
5/098477YX,反,O/098477YX,1,反,2,1
