製品,製品単位,部品,必要量,部品単位,行
3/048BA,K,1/11701,1.02,K,2
3/087GA,K,1/16761,1,K,2
3/088BS,K,1/17851,1.01,K,2
3/103LA,K,1/13241,1.02,K,2
3/111AA,K,1/15791,1.01,K,2
3/111RA,K,1/15791,1.02,K,2
3/119HA,K,1/13581,1.01,K,2
3/121KA,K,1/12451,1.01,K,2
3/124WA,K,1/15381,1.01,K,2
3/128HA,K,1/15921,1.02,K,2
3/131CA,K,1/15371,1.02,K,2
3/154VA,K,1/15051,1.02,K,2
3/168AA,K,1/85141,1.02,K,2
3/182HA,K,1/16711,1.01,K,2
3/182KS,K,1/16801,1.02,K,2
3/182LA,K,1/16801,1.02,K,2
3/187US,K,1/60011,1.02,K,2
3/189FS,K,1/18001,1.02,K,2
3/202DA,K,1/70041,1.02,K,2
3/205CA,K,1/20341,1.02,K,2
3/256JA,K,1/70001,0.38,K,2
3/256JA,K,1/16771,0.63,K,3
3/256MA,K,1/70041,0.42,K,2
3/256MA,K,1/16721,0.65,K,3
3/256NA,K,1/70051,0.42,K,2
3/256NA,K,1/16791,0.65,K,3
3/257AA,K,1/70051,0.43,K,2
3/257AA,K,1/16801,0.65,K,3
3/264HA,K,1/12831,0.27,K,2
3/264HA,K,1/17891,0.8,K,3
3/270JA,K,1/70011,0.27,K,2
3/270JA,K,1/17851,0.8,K,3
3/270MA,K,1/70061,0.27,K,2
3/270MA,K,1/17901,0.8,K,3
3/272AA,K,1/12391,0.25,K,2
3/272AA,K,1/17851,0.82,K,3
3/278JA,K,1/12271,0.27,K,2
3/278JA,K,1/17891,0.8,K,3
3/291AA,K,1/17731,0.51,K,2
3/291AA,K,1/17851,0.56,K,3
3/292AA,K,3/291AA,1,K,2
3/353MA,K,1/13261,0.61,K,2
3/353MA,K,1/12241,0.47,K,3
3/353UA,K,1/13431,0.58,K,2
3/353UA,K,1/12241,0.44,K,3
3/353VA,K,1/13261,0.61,K,2
3/353VA,K,1/12261,0.47,K,3
3/362AA,K,1/12991,0.66,K,2
3/362AA,K,1/23251,0.42,K,3
3/371WA,K,1/15051,1.02,K,2
3/401UA,K,1/12271,0.35,K,2
3/401UA,K,1/70011,0.66,K,3
3/430FA,K,1/13251,0.49,K,2
3/430FA,K,1/25871,0.61,K,3
3/430GA,K,1/13241,0.49,K,2
3/430GA,K,1/25871,0.61,K,3
3/430HA,K,1/13241,0.49,K,2
3/430HA,K,1/85141,0.61,K,3
3/432FA,K,1/13241,0.32,K,2
3/432FA,K,1/25421,0.78,K,3
3/432GA,K,1/13241,0.32,K,2
3/432GA,K,1/85151,0.78,K,3
