コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
1/10061,糸:10061:A210 <33T> SD 20/ 12 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/10151,糸:10151:ｴｽﾃﾙ Z10 <33T> SD 30/ 12 B08 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1782,1485,1272.9,1113.8,990,891,891,891,,,,,,,,,表示する,
1/10291,糸:10291:ｴｽﾃﾙ Z10 <33T> SD 30/ 12 B07 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2193.8,1828,1567,1371.1,1218.8,1096.9,1096.9,1096.9,,,,,,,,,表示する,
1/10301,糸:10301:9212 OHS2 <33T> SD 30/ 12 ﾏﾙﾀﾞﾝﾒﾝ ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1789.4,1491,1278.1,1118.4,994.1,894.7,894.7,894.7,,,,,,,,,表示する,
1/10561,糸:10561:V210ﾗｼｰﾅ <33T> SD 30/ 12 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/10731,糸:10731:028F ｽﾋﾞｰﾙ <56T> SD 50/ 12 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1865,1554,1332.1,1165.6,1036.1,932.5,932.5,932.5,,,,,,,,,表示する,
1/11151,糸:11151:ｴｽﾃﾙ Z10 <56T> 50/ 12 LOT B13 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1900,1583,1357.1,1187.5,1055.6,950,950,950,,,,,,,,,表示する,
1/11161,糸:11161:ｴｽﾃﾙ ｽｰﾊﾟｰZ010 <56T> SD 50/ 12 B07 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1700,1417,1214.3,1062.5,944.4,850,850,850,,,,,,,,,表示する,
1/11191,糸:11191:ﾃﾄﾛﾝ Z275 ﾜﾙﾂ <56T> SD 50/ 24 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1480,1233,1057.1,925,822.2,740,740,740,,,,,,,,,表示する,
1/11501,糸:11501:TF(ｺｳｷｮｳﾘｮｸ) <1100T> BR 1000/ 240 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,810,675,578.6,506.3,450,405,405,405,,,,,,,,,表示する,
1/11671,糸:11671:T400 PPT <56T> SD 50/ 24 PYV2 ｵﾍﾟﾛﾝﾃｯｸｽ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2320,1933,1657.1,1450,1288.9,1160,1160,1160,,,,,,,,,表示する,
1/11691,糸:11691:TT300SB IF <56T> SD 50/ 24 20F ﾃｨﾌｨｺ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,845,704,603.6,528.1,469.4,422.5,422.5,422.5,,,,,,,,,表示する,
1/11751,糸:11751:N820SB ｳｴｰﾌﾞﾛﾝ <84T> BB 75/ 30 ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/11811,糸:11811:T620SBｳｪｰﾌﾞﾛﾝ FD 75/ 30 ｵﾘｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/12241,糸:12241:CD (KB) <84T> SD 75/ 24 LOT:53 KBｾｰﾚﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,520,433,371.4,325,288.9,260,260,260,,,,,,,,,表示する,
1/12261,糸:12261:CD (KB) <84T> SD 75/ 24 LOT:54 KBｾｰﾚﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,520,433,371.4,325,288.9,260,260,260,,,,,,,,,表示する,
1/12271,糸:12271:TT300H ﾃｨﾌｨｺ <84T> SD 75/ 24 03F ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,285.6,238,204,178.5,158.7,142.8,142.8,142.8,,,,,,,,,表示する,
