コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
E/039428PX,開発 39428PX,ｶｲﾊﾂﾋ 39428PX,反,0.02,P100,50M,160,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,30,,X,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/076410CB,開発 76410CB,ｶｲﾊﾂﾋ 76410CB,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,20,,B,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/078019VA,開発 78019VA,ｶｲﾊﾂﾋ 78019VA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/078019VB,開発 78019VB,ｶｲﾊﾂﾋ 78019VB,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/078019VX,開発 78019VX,ｶｲﾊﾂﾋ 78019VX,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/079664FX,開発 79664FX,ｶｲﾊﾂﾋ 79664FX,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/097064CX,開発 97064CX,ｶｲﾊﾂﾋ 97064CX,反,0.02,TA72/P28,50M,145,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/097400VX,開発 97400VX,ｶｲﾊﾂﾋ 97400VX,反,0.02,TA73/P27,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/098413ZX,開発 98413ZX,ｶｲﾊﾂﾋ 98413ZX,反,0.02,TA57/P30/C13,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,20,,B,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/098706ZX,開発 98706ZX,ｶｲﾊﾂﾋ 98706ZX,反,0.02,TA60/P40,50M,135,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/098761XX,開発 98761XX,ｶｲﾊﾂﾋ 98761XX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,20,,B,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/099220JX,開発 99220JX,ｶｲﾊﾂﾋ 99220JX,反,0.02,P100,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,20,,B,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/099401JX,開発 99401JX,ｶｲﾊﾂﾋ 99401JX,反,0.02,TA48/C35/P17,50M,118,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,50,,E,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
E/099556ZX,開発 99556ZX,ｶｲﾊﾂﾋ 99556ZX,反,0.02,TA66/P34,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,E,,20,,B,,,,,M,,3500,2917,2500,2188,1944,1750,1750,1750,,,,,,,,,表示する,
