コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,仕入先名,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
5/039428PX,生機 39428PX,ｷﾊﾞﾀ 39428PX,反,0.02,P100,50M,160,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,30,,X,,,,,M,,45486,37905,32490,28428.8,25270,22743,22743,22743,,,,,,,,,表示する,
5/076410CB,生機 76410CB,ｷﾊﾞﾀ 76410CB,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,65744,54787,46960,41090,36524.4,32872,32872,32872,,,,,,,,,表示する,
5/078019VA,生機 78019VA,ｷﾊﾞﾀ 78019VA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,69208,57673,49434.3,43255,38448.9,34604,34604,34604,,,,,,,,,表示する,
5/078019VB,生機 78019VB,ｷﾊﾞﾀ 78019VB,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,69208,57673,49434.3,43255,38448.9,34604,34604,34604,,,,,,,,,表示する,
5/078019VX,生機 78019VX,ｷﾊﾞﾀ 78019VX,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,69208,57673,49434.3,43255,38448.9,34604,34604,34604,,,,,,,,,表示する,
5/079664FX,生機 79664FX,ｷﾊﾞﾀ 79664FX,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,54404,45337,38860,34002.5,30224.4,27202,27202,27202,,,,,,,,,表示する,
5/097064CX,生機 97064CX,ｷﾊﾞﾀ 97064CX,反,0.02,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,56876,47397,40625.7,35547.5,31597.8,28438,28438,28438,,,,,,,,,表示する,
5/097400VX,生機 97400VX,ｷﾊﾞﾀ 97400VX,反,0.02,TA73/P27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,50180,41817,35842.9,31362.5,27877.8,25090,25090,25090,,,,,,,,,表示する,
5/098413ZX,生機 98413ZX,ｷﾊﾞﾀ 98413ZX,反,0.02,TA57/P30/C13,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,78810,65675,56292.9,49256.3,43783.3,39405,39405,39405,,,,,,,,,表示する,
5/098706ZX,生機 98706ZX,ｷﾊﾞﾀ 98706ZX,反,0.02,TA60/P40,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
