コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
5/039428PX,生機: 39428PX,ｷﾊﾞﾀ 39428PX,反,0.02,P100,50M,160,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,30,,X,,,,,M,,45486,37905,32490,28428.8,25270,22743,22743,22743,,,,,,,,,表示する,
5/076410CB,生機: 76410CB,ｷﾊﾞﾀ 76410CB,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,65744,54787,46960,41090,36524.4,32872,32872,32872,,,,,,,,,表示する,
5/076410CC,生機: 76410CC,ｷﾊﾞﾀ 76410CC,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,64568,53807,46120,40355,35871.1,32284,32284,32284,,,,,,,,,表示する,
5/076410CX,生機: 76410CX,ｷﾊﾞﾀ 76410CX,反,0.02,TA64/P13/R12/RA11,50,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,64882,54068,46344.3,40551.3,36045.6,32441,32441,32441,,,,,,,,,表示する,
5/078019BA,生機: 78019BA,ｷﾊﾞﾀ 78019BA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,73270,61058,52335.7,45793.8,40705.6,36635,36635,36635,,,,,,,,,表示する,
5/078019VA,生機: 78019VA,ｷﾊﾞﾀ 78019VA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,69208,57673,49434.3,43255,38448.9,34604,34604,34604,,,,,,,,,表示する,
5/078019VB,生機: 78019VB,ｷﾊﾞﾀ 78019VB,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,69208,57673,49434.3,43255,38448.9,34604,34604,34604,,,,,,,,,表示する,
5/078019VX,生機: 78019VX,ｷﾊﾞﾀ 78019VX,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,69208,57673,49434.3,43255,38448.9,34604,34604,34604,,,,,,,,,表示する,
5/079664CB,生機: 79664CB,ｷﾊﾞﾀ 79664CB,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,56620,47183,40442.9,35387.5,31455.6,28310,28310,28310,,,,,,,,,表示する,
5/079664FX,生機: 79664FX,ｷﾊﾞﾀ 79664FX,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,54252,45210,38751.4,33907.5,30140,27126,27126,27126,,,,,,,,,表示する,
5/097064CX,生機: 97064CX,ｷﾊﾞﾀ 97064CX,反,0.02,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,56876,47397,40625.7,35547.5,31597.8,28438,28438,28438,,,,,,,,,表示する,
5/097064JD,生機: 97064JD,ｷﾊﾞﾀ 97064JD,反,0.02,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,57852,48210,41322.9,36157.5,32140,28926,28926,28926,,,,,,,,,表示する,
