元コード,コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,評価下原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
 97671LX,5/097671LX,生機: 97671LX,ｷﾊﾞﾀ 97671LX,反,0.02,N100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 98045YX,5/098045YX,生機: 98045YX,ｷﾊﾞﾀ 98045YX,反,0.02,TA62/P35/PU3,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 98762YA,5/098762YA,生機: 98762YA,ｷﾊﾞﾀ 98762YA,反,0.02,TA46/P27/R27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 98762ZX,5/098762ZX,生機: 98762ZX,ｷﾊﾞﾀ 98762ZX,反,0.02,TA46/P27/R27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 98784FX,5/098784FX,生機: 98784FX,ｷﾊﾞﾀ 98784FX,反,0.02,TA39/R31/P30,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 99306JA,5/099306JA,生機: 99306JA,ｷﾊﾞﾀ 99306JA,反,0.02,P64/TA36,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 99307JA,5/099307JA,生機: 99307JA,ｷﾊﾞﾀ 99307JA,反,0.02,P49/TA27/R24,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 99344YX,5/099344YX,生機: 99344YX,ｷﾊﾞﾀ 99344YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 99345YX,5/099345YX,生機: 99345YX,ｷﾊﾞﾀ 99345YX,反,0.02,P98/R2,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
 99370YX,5/099370YX,生機: 99370YX,ｷﾊﾞﾀ 99370YX,反,0.02,TA39/R38/P23,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
100661YC,5/100661YC,生機:100661YC,ｷﾊﾞﾀ100661YC,反,0.02,P62/R38,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,I,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
113758YA,5/113758YA,生機:113758YA,ｷﾊﾞﾀ113758YA,反,0.02,P73/TA27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
113777HX,5/113777HX,生機:113777HX,ｷﾊﾞﾀ113777HX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
113822ZX,5/113822ZX,生機:113822ZX,ｷﾊﾞﾀ113822ZX,反,0.02,P72/TA27/AN1,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
113857VA,5/113857VA,生機:113857VA,ｷﾊﾞﾀ113857VA,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
135289YX,5/135289YX,生機:135289YX,ｷﾊﾞﾀ135289YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
135300HB,5/135300HB,生機:135300HB,ｷﾊﾞﾀ135300HB,反,0.02,P86/N14,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
135658LX,5/135658LX,生機:135658LX,ｷﾊﾞﾀ135658LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
135661LX,5/135661LX,生機:135661LX,ｷﾊﾞﾀ135661LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
