コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
3/103LA,103LA:撚糸:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z(70ﾟC30),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1111.9,927,794.2,695,617.7,555.97,555.97,555.97,,,,,,,,,表示する,
3/111RA,111RA:撚糸:ﾃｨﾌｨｺTW<167T>SD150/48Z(20) / (70ﾟC30),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,878.1,732,627.2,548.8,487.8,439.06,439.06,439.06,,,,,,,,,表示する,
3/154UA,154UA:撚糸:PPT.W<165T> SD 147/ 68 Z (ﾀｲﾜﾝ),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,260,217,185.7,162.5,144.4,130,130,130,,,,,,,,,表示する,
3/189DA,189DA:撚糸:ﾅﾝﾔT.POYW<255T> SD 230/ 48 Z(176D),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,688.8,574,492,430.5,382.7,344.4,344.4,344.4,,,,,,,,,表示する,
3/205CA,205CA:撚糸:ﾄｰﾚN66.W <78T> SD 70/ 24 Z (1205),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,2234,1862,1595.7,1396.3,1241.1,1117,1117,1117,,,,,,,,,表示する,
3/256PA,256PA:撚糸:ﾅﾝﾔCDF(SDY)84TSD75/36(8C375) ﾅﾝﾔCDPOYF140TSD/36(MC361) / ﾄﾞｳｶﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1274.3,1062,910.2,796.4,707.9,637.15,637.15,637.15,,,,,,,,,表示する,
3/256QA,256QA:撚糸:ﾅﾝﾔCDF(SDY)84TSD75/36(8C379) ﾅﾝﾔCDPOYF140TSD/36(MC361) / ﾄﾞｳｶﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1142,952,815.7,713.8,634.4,571,571,571,,,,,,,,,表示する,
3/262PA,262PA:撚糸:ﾅﾝﾔT.POYF<255T>SD230/48 ﾅﾝﾔCDPOYF140TSD/36(MC361) 292/ 84 ﾄﾞｳｶﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,843.9,703,602.8,527.4,468.8,421.95,421.95,421.95,,,,,,,,,表示する,
3/264KA,264KA:撚糸:T600EB<83T>SD75/36 ﾅﾝﾔｴｺPOYｹﾐｶﾙ278TSD/48(M96D9) / ﾄﾞｳｶﾘ ｱﾙﾐﾉﾐ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1161.4,968,829.6,725.9,645.2,580.7,580.7,580.7,,,,,,,,,表示する,
3/270MA,270MA:撚糸:ﾅﾝﾔCDF(SDY)84TSD75/36(8C375) ﾅﾝﾔCDPOYF<280T>SD250/48 / ﾄﾞｳｶﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1016.3,847,725.9,635.2,564.6,508.15,508.15,508.15,,,,,,,,,表示する,
3/270NA,270NA:撚糸:ﾅﾝﾔCDF(SDY)84TSD75/36(8C379) ﾅﾝﾔCDPOYF<280T>SD250/48 / ﾄﾞｳｶﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1016.3,847,725.9,635.2,564.6,508.15,508.15,508.15,,,,,,,,,表示する,
3/278KA,278KA:撚糸:ﾃｨﾌｨｺTF<84T>SD75/24(03F) ﾅﾝﾔｴｺPOYｹﾐｶﾙ278TSD/48(M96D9) / ﾄﾞｳｶﾘ ｱﾙﾐﾉﾐ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,918.2,765,655.9,573.9,510.1,459.1,459.1,459.1,,,,,,,,,表示する,
3/293RA,293RA:撚糸:ﾅﾝﾔT.POYF<255T>SD230/48 ﾅﾝﾔCDPOYF140TSD/36(MC361) 292/ 84 ﾄﾞｳｶﾘ SA-2,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1083.9,903,774.2,677.4,602.2,541.95,541.95,541.95,,,,,,,,,表示する,
3/320GA,320GA:撚糸:ﾃ.TF<167T>SD150/48(20F) ﾅﾝﾔT.POY<255T>SD230/48 / ﾄﾞｳｶﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,784.6,654,560.5,490.4,435.9,392.32,392.32,392.32,,,,,,,,,表示する,
3/342BA,342BA:撚糸:ｴｱﾛｶﾌﾟｾﾙW<110T> FD 100/ 24 Z (LS),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,2193.2,1828,1566.6,1370.8,1218.4,1096.6,1096.6,1096.6,,,,,,,,,表示する,
3/371UA,371UA:撚糸:PPT.W<165T>BR147/68Z (ﾀｲﾜﾝ) / SA-2,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,500,417,357.1,312.5,277.8,250,250,250,,,,,,,,,表示する,
3/371WA,371WA:撚糸:PPT.W<165T>BR147/68Z (1T107) / LS,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,2156.4,1797,1540.3,1347.8,1198,1078.2,1078.2,1078.2,,,,,,,,,表示する,
3/404AA,404AA:撚糸:PR.ﾅﾝﾔｴｺPOY<278T>SD250/48 X ﾅﾝﾔCDF<84T>SD75/36(8C367) 353/ 84 ｾｯﾄ85ﾟC30',,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1311,1093,936.4,819.4,728.3,655.5,655.5,655.5,,,,,,,,,表示する,
3/404BA,404BA:撚糸:PR.ﾅﾝﾔｴｺPOY<278T>SD250/48 X ﾅﾝﾔCDF<84T>SD75/36(8C375) 353/ 84 ｾｯﾄ85ﾟC30,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1271,1059,907.9,794.4,706.1,635.5,635.5,635.5,,,,,,,,,表示する,
3/430HA,430HA:撚糸:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC(ES)<84T>BR75/20(LP9) 248/ 44 ｾｯﾄ85ﾟC30,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,2112,1760,1508.6,1320,1173.3,1056.01,1056.01,1056.01,,,,,,,,,表示する,
3/432FA,432FA:撚糸:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC<167T>BR150/40 380/ 64 ST5ｶｲ 85ﾟC,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,2303.1,1919,1645.1,1439.5,1279.5,1151.57,1151.57,1151.57,,,,,,,,,表示する,
3/507JA,507JA:撚糸:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z300WMｻｷﾖﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1413.8,1178,1009.8,883.6,785.4,706.89,706.89,706.89,,,,,,,,,表示する,
3/507KA,507KA:撚糸:ﾃ.TW<110T>ｲﾀｸｻｷﾖﾘ(ｼﾞﾖﾘ) SD 100/ 24 Z300WMｻｷﾖﾘ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1413.8,1178,1009.8,883.6,785.4,706.89,706.89,706.89,,,,,,,,,表示する,
3/558CA,558CA:撚糸:ﾄｰﾚTF<84T>SD75/36(215) ﾅﾝﾔT.POY<255T>SD230/48ﾄﾞｳｶﾘ / ｾｯﾄ70ﾟC30 ｱﾙﾐﾉﾐ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,817.5,681,583.9,510.9,454.2,408.75,408.75,408.75,,,,,,,,,表示する,
3/683AA,683AA:撚糸:TW <330T>SD300/96 3ﾎﾝ Z150 ｻｷｿﾞﾒ(C/#SFBLKｸﾛ) /,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,997.7,831,712.6,623.5,554.3,498.83,498.83,498.83,,,,,,,,,表示する,
3/A0401,A0401:撚糸:EWSD150/48 Z100T/M G : : :,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,770,642,550,481.3,427.8,385,385,385,,,,,,,,,表示する,
3/A1161,A1161:撚糸:CDWSD150/48(ｺｳｷｮｳﾄﾞ) :/6<Z150>G(120ﾟCX30) : :,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1368.2,1140,977.3,855.1,760.1,684.1,684.1,684.1,,,,,,,,,表示する,
3/A1605,A1605:撚糸:ｻﾝｴﾂTW<330T>SD300/96 :(SY-SZ)<Z600>WS : :,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,2440,2033,1742.9,1525,1355.6,1220,1220,1220,,,,,,,,,表示する,
