コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
N/103LA,103LA:撚糸賃:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z(70ﾟC30),,K,0,2850,,103,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
N/111RA,111RA:撚糸賃:ﾃｨﾌｨｺTW<167T>SD150/48Z(20) / (70ﾟC30),,K,0,2420,,154,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,250,208,178.6,156.3,138.9,125,125,125,,,,,,,,,表示する,
N/154UA,154UA:撚糸賃:PPT.W<165T> SD 147/ 68 Z (ﾀｲﾜﾝ),,K,0,2550,,157,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,260,217,185.7,162.5,144.4,130,130,130,,,,,,,,,表示する,
N/189DA,189DA:撚糸賃:ﾅﾝﾔT.POYW<255T> SD 230/ 48 Z(176D),,K,0,2420,,176,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,240,200,171.4,150,133.3,120,120,120,,,,,,,,,表示する,
N/205CA,205CA:撚糸賃:ﾄｰﾚN66.W <78T> SD 70/ 24 Z (1205),,K,0,3050,,70,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,500,417,357.1,312.5,277.8,250,250,250,,,,,,,,,表示する,
N/256PA,256PA:撚糸賃:ﾅﾝﾔCDF(SDY)84TSD75/36(8C375) ﾅﾝﾔCDPOYF140TSD/36(MC361) / ﾄﾞｳｶﾘ,,K,0,2110,,206,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,400,333,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
N/256QA,256QA:撚糸賃:ﾅﾝﾔCDF(SDY)84TSD75/36(8C379) ﾅﾝﾔCDPOYF140TSD/36(MC361) / ﾄﾞｳｶﾘ,,K,0,2110,,202,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,260,217,185.7,162.5,144.4,130,130,130,,,,,,,,,表示する,
N/262PA,262PA:撚糸賃:ﾅﾝﾔT.POYF<255T>SD230/48 ﾅﾝﾔCDPOYF140TSD/36(MC361) 292/ 84 ﾄﾞｳｶﾘ,,K,0,1700,,292,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,240,200,171.4,150,133.3,120,120,120,,,,,,,,,表示する,
N/264KA,264KA:撚糸賃:T600EB<83T>SD75/36 ﾅﾝﾔｴｺPOYｹﾐｶﾙ278TSD/48(M96D9) / ﾄﾞｳｶﾘ ｱﾙﾐﾉﾐ,,K,0,1700,,334,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,240,200,171.4,150,133.3,120,120,120,,,,,,,,,表示する,
N/270MA,270MA:撚糸賃:ﾅﾝﾔCDF(SDY)84TSD75/36(8C375) ﾅﾝﾔCDPOYF<280T>SD250/48 / ﾄﾞｳｶﾘ,,K,0,1700,,325,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,280,233,200,175,155.6,140,140,140,,,,,,,,,表示する,
