僐乕僪,柤徧,僼儕僈僫,扨埵,擖悢,婯奿丒宆斣,怓,僒僀僘,悢検彫悢寘,扨壙彫悢寘,嵼屔娗棟,壽惻嬫暘,敪拲儘僢僩,儕乕僪僞僀儉,嵼屔揔惓悢,嵼屔昡壙曽朄,庡偨傞巇擖愭,昗弨昳幙,庡偨傞憅屔,憅屔柤,敪拲楢摦,暘椶侾,暘椶侾柤,暘椶俀,暘椶俀柤,暘椶俁,暘椶俁柤,暘椶係,暘椶係柤,暘椶俆,悢扨埵,儊儌棑,惻敳忋戙,惻敳攧忋扨壙侾,惻敳攧忋扨壙俀,惻敳攧忋扨壙俁,惻敳攧忋扨壙係,惻敳攧忋尨壙,惻敳巇擖扨壙,惻敳昗弨尨壙,惻崬忋戙,惻崬攧忋扨壙侾,惻崬攧忋扨壙俀,惻崬攧忋扨壙俁,惻崬攧忋扨壙係,惻崬攧忋尨壙,惻崬巇擖扨壙,惻崬昗弨尨壙,嶲徠昞帵,峏怴擔
O/039428PX,怐捓 39428PX,地凛 39428PX,斀,0.02,P100,50M,160,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,30,,X,,,,,M,,6890,5742,4921,4306,3828,3445,3445,3445,,,,,,,,,昞帵偡傞,
O/076410CB,怐捓 76410CB,地凛 76410CB,斀,0.02,TA63/P15/RA11/R11,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/078019VA,怐捓 78019VA,地凛 78019VA,斀,0.02,TA64/P36,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/078019VB,怐捓 78019VB,地凛 78019VB,斀,0.02,TA64/P36,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/078019VX,怐捓 78019VX,地凛 78019VX,斀,0.02,TA64/P36,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/079664FX,怐捓 79664FX,地凛 79664FX,斀,0.02,TA55/P45,50M,130,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/097064CX,怐捓 97064CX,地凛 97064CX,斀,0.02,TA72/P28,50M,145,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,13770,11475,9836,8606,7650,6885,6885,6885,,,,,,,,,昞帵偡傞,
O/097400VX,怐捓 97400VX,地凛 97400VX,斀,0.02,TA73/P27,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,11000,9167,7857,6875,6111,5500,5500,5500,,,,,,,,,昞帵偡傞,
O/098413ZX,怐捓 98413ZX,地凛 98413ZX,斀,0.02,TA57/P30/C13,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,13000,10833,9286,8125,7222,6500,6500,6500,,,,,,,,,昞帵偡傞,
O/098706ZX,怐捓 98706ZX,地凛 98706ZX,斀,0.02,TA60/P40,50M,135,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,昞帵偡傞,
