コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,仕入先名,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
8/039428PX,染品 39428PX,ｿﾒﾋﾝ 39428PX,M,50,P100,50M,160,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,30,,X,,,,,反,,825,2895250,2481642.9,2171437.5,1930166.7,1737150,1737150,1737150,,,,,,,,,表示する,
8/076410CB,染品 76410CB,ｿﾒﾋﾝ 76410CB,M,50,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,930,3489333,2990857.1,2617000,2326222.2,2093600,2093600,2093600,,,,,,,,,表示する,
8/078019VA,染品 78019VA,ｿﾒﾋﾝ 78019VA,M,50,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,1180,3800333,3257428.6,2850250,2533555.6,2280200,2280200,2280200,,,,,,,,,表示する,
8/078019VB,染品 78019VB,ｿﾒﾋﾝ 78019VB,M,50,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,1180,3800333,3257428.6,2850250,2533555.6,2280200,2280200,2280200,,,,,,,,,表示する,
8/078019VX,染品 78019VX,ｿﾒﾋﾝ 78019VX,M,50,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,1180,3800333,3257428.6,2850250,2533555.6,2280200,2280200,2280200,,,,,,,,,表示する,
8/079664FX,染品 79664FX,ｿﾒﾋﾝ 79664FX,M,50,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,900,3183500,2728714.3,2387625,2122333.3,1910100,1910100,1910100,,,,,,,,,表示する,
8/097064CX,染品 97064CX,ｿﾒﾋﾝ 97064CX,M,50,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,950,3119833,2674142.9,2339875,2079888.9,1871900,1871900,1871900,,,,,,,,,表示する,
8/097400VX,染品 97400VX,ｿﾒﾋﾝ 97400VX,M,50,TA73/P27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,43500,2945000,2524285.7,2208750,1963333.3,1767000,1767000,1767000,,,,,,,,,表示する,
8/098413ZX,染品 98413ZX,ｿﾒﾋﾝ 98413ZX,M,50,TA57/P30/C13,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,57500,4658750,3993214.3,3494062.5,3105833.3,2795250,2795250,2795250,,,,,,,,,表示する,
8/098706ZX,染品 98706ZX,ｿﾒﾋﾝ 98706ZX,M,50,TA60/P40,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/098761XX,染品 98761XX,ｿﾒﾋﾝ 98761XX,M,50,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,680,2572167,2204714.3,1929125,1714777.8,1543300,1543300,1543300,,,,,,,,,表示する,
8/099220JX,染品 99220JX,ｿﾒﾋﾝ 99220JX,M,50,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,800,2862750,2453785.7,2147062.5,1908500,1717650,1717650,1717650,,,,,,,,,表示する,
8/099401JX,染品 99401JX,ｿﾒﾋﾝ 99401JX,M,50,TA48/C35/P17,50M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,1006,3733583,3200214.3,2800187.5,2489055.6,2240150,2240150,2240150,,,,,,,,,表示する,
8/099556ZX,染品 99556ZX,ｿﾒﾋﾝ 99556ZX,M,50,TA66/P34,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,1180,4014667,3441142.9,3011000,2676444.4,2408800,2408800,2408800,,,,,,,,,表示する,
8/099683YX,染品 99683YX,ｿﾒﾋﾝ 99683YX,M,50,TA82/P18,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,1200,4168667,3573142.9,3126500,2779111.1,2501200,2501200,2501200,,,,,,,,,表示する,
8/099879JX,染品 99879JX,ｿﾒﾋﾝ 99879JX,M,50,P100,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/102144BB,染品102144BB,ｿﾒﾋﾝ102144BB,M,50,P76/R24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,725,2352833,2016714.3,1764625,1568555.6,1411700,1411700,1411700,,,,,,,,,表示する,
8/102633ZX,染品102633ZX,ｿﾒﾋﾝ102633ZX,M,50,P52/TA48,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,615,2159833,1851285.7,1619875,1439888.9,1295900,1295900,1295900,,,,,,,,,表示する,
8/115157ZA,染品115157ZA,ｿﾒﾋﾝ115157ZA,M,50,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,30,,X,,,,,反,,455,1689000,1447714.3,1266750,1126000,1013400,1013400,1013400,,,,,,,,,表示する,
8/115157ZB,染品115157ZB,ｿﾒﾋﾝ115157ZB,M,50,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,30,,X,,,,,反,,455,1689000,1447714.3,1266750,1126000,1013400,1013400,1013400,,,,,,,,,表示する,
8/115769PL,染品115769PL,ｿﾒﾋﾝ115769PL,M,50,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,680,2733417,2342928.6,2050062.5,1822277.8,1640050,1640050,1640050,,,,,,,,,表示する,
8/115859PA,染品115859PA,ｿﾒﾋﾝ115859PA,M,50,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,30,,X,,,,,反,,410,1541083,1320928.6,1155812.5,1027388.9,924650,924650,924650,,,,,,,,,表示する,
8/115859XC,染品115859XC,ｿﾒﾋﾝ115859XC,M,50,P100,50M,97,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,30,,X,,,,,反,,390,1304500,1118142.9,978375,869666.7,782700,782700,782700,,,,,,,,,表示する,
8/123127ZF,染品123127ZF,ｿﾒﾋﾝ123127ZF,M,50,TA67/P33,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,950,3864833,3312714.3,2898625,2576555.6,2318900,2318900,2318900,,,,,,,,,表示する,
8/127250JD,染品127250JD,ｿﾒﾋﾝ127250JD,M,50,TA67/P33,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,670,2396500,2054142.9,1797375,1597666.7,1437900,1437900,1437900,,,,,,,,,表示する,
8/127413CX,染品127413CX,ｿﾒﾋﾝ127413CX,M,50,TA72/P28,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,920,3345750,2867785.7,2509312.5,2230500,2007450,2007450,2007450,,,,,,,,,表示する,
8/135239DB,染品135239DB,ｿﾒﾋﾝ135239DB,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,845,2385792,2044964.3,1789343.8,1590527.8,1431475,1431475,1431475,,,,,,,,,表示する,
8/135426LH,染品135426LH,ｿﾒﾋﾝ135426LH,M,50,P90/N10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,840,2748333,2355714.3,2061250,1832222.2,1649000,1649000,1649000,,,,,,,,,表示する,
8/135499LX,染品135499LX,ｿﾒﾋﾝ135499LX,M,50,P82/N18,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,1180,2942550,2522185.7,2206912.5,1961700,1765530,1765530,1765530,,,,,,,,,表示する,
8/135521LD,染品135521LD,ｿﾒﾋﾝ135521LD,M,50,P73/R14/N13,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,830,2686675,2302864.3,2015006.3,1791116.7,1612005,1612005,1612005,,,,,,,,,表示する,
8/135539HX,染品135539HX,ｿﾒﾋﾝ135539HX,M,50,P92/R8,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,1010,2470492,2117564.3,1852868.8,1646994.4,1482295,1482295,1482295,,,,,,,,,表示する,
8/135742LX,染品135742LX,ｿﾒﾋﾝ135742LX,M,50,P95/R5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,10,,L,,,,,反,,860,2327833,1995285.7,1745875,1551888.9,1396700,1396700,1396700,,,,,,,,,表示する,
8/159560VX,染品159560VX,ｿﾒﾋﾝ159560VX,M,40,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,950,2271533,1947028.6,1703650,1514355.6,1362920,1362920,1362920,,,,,,,,,表示する,
8/159577VX,染品159577VX,ｿﾒﾋﾝ159577VX,M,40,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,950,2271533,1947028.6,1703650,1514355.6,1362920,1362920,1362920,,,,,,,,,表示する,
8/171143YX,染品171143YX,ｿﾒﾋﾝ171143YX,M,50,CU71/P29,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,0,4540917,3892214.3,3405687.5,3027277.8,2724550,2724550,2724550,,,,,,,,,表示する,
8/171144YX,染品171144YX,ｿﾒﾋﾝ171144YX,M,50,CU38/TA33/P29,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,0,6721250,5761071.4,5040937.5,4480833.3,4032750,4032750,4032750,,,,,,,,,表示する,
8/171222YX,染品171222YX,ｿﾒﾋﾝ171222YX,M,48,CU49/R40/P11,48M,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,336,1272640,1090834.3,954480,848426.7,763584,763584,763584,,,,,,,,,表示する,
8/171337YX,染品171337YX,ｿﾒﾋﾝ171337YX,M,50,R80/CU20,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/290045VX,染品290045VX,ｿﾒﾋﾝ290045VX,M,46,AC75/P25,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,201.4,636947,545954.3,477710,424631.1,382168,382168,382168,,,,,,,,,表示する,
8/290054YB,染品290054YB,ｿﾒﾋﾝ290054YB,M,50,R51/L30/P19,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,162,610833,523571.4,458125,407222.2,366500,366500,366500,,,,,,,,,表示する,
8/290128ZX,染品290128ZX,ｿﾒﾋﾝ290128ZX,M,100,P100,100M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,220,3270000,2802857.1,2452500,2180000,1962000,1962000,1962000,,,,,,,,,表示する,
8/290169GA,染品290169GA,ｿﾒﾋﾝ290169GA,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,145.6,441667,378571.4,331250,294444.4,265000,265000,265000,,,,,,,,,表示する,
8/290170GA,染品290170GA,ｿﾒﾋﾝ290170GA,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,145.6,441667,378571.4,331250,294444.4,265000,265000,265000,,,,,,,,,表示する,
8/290172ZX,染品290172ZX,ｿﾒﾋﾝ290172ZX,M,50,CU62/P38,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,307,1087333,932000,815500,724888.9,652400,652400,652400,,,,,,,,,表示する,
8/290188YX,染品290188YX,ｿﾒﾋﾝ290188YX,M,42,P100,42M,165,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,131,288120,246960,216090,192080,172872,172872,172872,,,,,,,,,表示する,
