コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,ロット,発注連動,分類１,不要,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
8/039428,品番 39428,ﾋﾝﾊﾞﾝ 39428,M,50,P100,50M,160,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,PX,非対象,8,FALSE,30,,X,,,,,反,,825,1158,992.7,868.6,772.1,694.9,694.9,694.9,,,,,,,,,表示する,
8/076410,品番 76410,ﾋﾝﾊﾞﾝ 76410,M,50,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,CB,非対象,8,FALSE,20,,B,,,,,反,,930,1396,1196.3,1046.8,930.4,837.4,837.4,837.4,,,,,,,,,表示する,
8/078019,品番 78019,ﾋﾝﾊﾞﾝ 78019,M,50,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VA,非対象,8,FALSE,50,,E,,,,,反,,1180,1520,1303,1140.1,1013.4,912.1,912.1,912.1,,,,,,,,,表示する,
8/079664,品番 79664,ﾋﾝﾊﾞﾝ 79664,M,50,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,FX,非対象,8,FALSE,50,,E,,,,,反,,900,1273,1091.4,955,848.9,764,764,764,,,,,,,,,表示する,
8/097064,品番 97064,ﾋﾝﾊﾞﾝ 97064,M,50,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,CX,非対象,8,FALSE,50,,E,,,,,反,,950,1248,1069.7,936,832,748.8,748.8,748.8,,,,,,,,,表示する,
8/097400,品番 97400,ﾋﾝﾊﾞﾝ 97400,M,50,TA73/P27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,50,,E,,,,,反,,43500,1178,1009.7,883.5,785.3,706.8,706.8,706.8,,,,,,,,,表示する,
8/098413,品番 98413,ﾋﾝﾊﾞﾝ 98413,M,50,TA57/P30/C13,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,57500,1864,1597.3,1397.6,1242.3,1118.1,1118.1,1118.1,,,,,,,,,表示する,
8/098706,品番 98706,ﾋﾝﾊﾞﾝ 98706,M,50,TA60/P40,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,50,,E,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/098761,品番 98761,ﾋﾝﾊﾞﾝ 98761,M,50,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,XX,非対象,8,FALSE,20,,B,,,,,反,,680,1029,881.9,771.6,685.9,617.3,617.3,617.3,,,,,,,,,表示する,
8/099220,品番 99220,ﾋﾝﾊﾞﾝ 99220,M,50,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JX,非対象,8,FALSE,20,,B,,,,,反,,800,1145,981.6,858.9,763.4,687.1,687.1,687.1,,,,,,,,,表示する,
