コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
4/039428PX,整経玉 39428PX,ｾｲｹｲﾀﾏ 39428PX,反,0.02,P100,50M,160,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,30,,X,,,,,M,,19440,16200,13886,12150,10800,9720.08,9720.08,9720.08,,,,,,,,,表示する,
4/076410CB,整経玉 76410CB,ｾｲｹｲﾀﾏ 76410CB,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,22762,18968,16259,14226,12646,11381,11381,11381,,,,,,,,,表示する,
4/078019VA,整経玉 78019VA,ｾｲｹｲﾀﾏ 78019VA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,30580,25483,21843,19112,16989,15289.82,15289.82,15289.82,,,,,,,,,表示する,
4/078019VB,整経玉 78019VB,ｾｲｹｲﾀﾏ 78019VB,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,30580,25483,21843,19112,16989,15289.82,15289.82,15289.82,,,,,,,,,表示する,
4/078019VX,整経玉 78019VX,ｾｲｹｲﾀﾏ 78019VX,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,30580,25483,21843,19112,16989,15289.82,15289.82,15289.82,,,,,,,,,表示する,
4/079664FX,整経玉 79664FX,ｾｲｹｲﾀﾏ 79664FX,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,17904,14920,12788,11190,9947,8951.93,8951.93,8951.93,,,,,,,,,表示する,
4/097064CX,整経玉 97064CX,ｾｲｹｲﾀﾏ 97064CX,反,0.02,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,28577,23814,20412,17860,15876,14288.38,14288.38,14288.38,,,,,,,,,表示する,
4/097400VX,整経玉 97400VX,ｾｲｹｲﾀﾏ 97400VX,反,0.02,TA73/P27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,22073,18395,15767,13796,12263,11036.72,11036.72,11036.72,,,,,,,,,表示する,
4/098413ZX,整経玉 98413ZX,ｾｲｹｲﾀﾏ 98413ZX,反,0.02,TA57/P30/C13,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,35718,29765,25513,22323,19843,17858.77,17858.77,17858.77,,,,,,,,,表示する,
4/098706ZX,整経玉 98706ZX,ｾｲｹｲﾀﾏ 98706ZX,反,0.02,TA60/P40,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,5768,4806,4120,3605,3204,2883.76,2883.76,2883.76,,,,,,,,,表示する,
