コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
D/039428PX,染賃 39428PX,ｿﾒﾁﾝ 39428PX,M,50,P100,50M,160,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,480,400,342.9,300,266.7,240,240,240,,,,,,,,,表示する,
D/076410CB,染賃 76410CB,ｿﾒﾁﾝ 76410CB,M,50,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/078019VA,染賃 78019VA,ｿﾒﾁﾝ 78019VA,M,50,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/078019VB,染賃 78019VB,ｿﾒﾁﾝ 78019VB,M,50,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/078019VX,染賃 78019VX,ｿﾒﾁﾝ 78019VX,M,50,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/079664FX,染賃 79664FX,ｿﾒﾁﾝ 79664FX,M,50,TA55/P45,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/097064CX,染賃 97064CX,ｿﾒﾁﾝ 97064CX,M,50,TA72/P28,50M,145,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/097400VX,染賃 97400VX,ｿﾒﾁﾝ 97400VX,M,50,TA73/P27,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,410,341.7,292.9,256.3,227.8,205,205,205,,,,,,,,,表示する,
D/098413ZX,染賃 98413ZX,ｿﾒﾁﾝ 98413ZX,M,50,TA57/P30/C13,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,660,550,471.4,412.5,366.7,330,330,330,,,,,,,,,表示する,
D/098706ZX,染賃 98706ZX,ｿﾒﾁﾝ 98706ZX,M,50,TA60/P40,50M,135,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/098761XX,染賃 98761XX,ｿﾒﾁﾝ 98761XX,M,50,P54/CU46,50M,145,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/099220JX,染賃 99220JX,ｿﾒﾁﾝ 99220JX,M,50,P100,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/099401JX,染賃 99401JX,ｿﾒﾁﾝ 99401JX,M,50,TA48/C35/P17,50M,118,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,620,516.7,442.9,387.5,344.4,310,310,310,,,,,,,,,表示する,
D/099556ZX,染賃 99556ZX,ｿﾒﾁﾝ 99556ZX,M,50,TA66/P34,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/099683YX,染賃 99683YX,ｿﾒﾁﾝ 99683YX,M,50,TA82/P18,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,520,433.3,371.4,325,288.9,260,260,260,,,,,,,,,表示する,
D/099879JX,染賃 99879JX,ｿﾒﾁﾝ 99879JX,M,50,P100,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/102144BB,染賃102144BB,ｿﾒﾁﾝ102144BB,M,50,P76/R24,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/102633ZX,染賃102633ZX,ｿﾒﾁﾝ102633ZX,M,50,P52/TA48,50M,145,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115157ZA,染賃115157ZA,ｿﾒﾁﾝ115157ZA,M,50,P100,50M,127,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115157ZB,染賃115157ZB,ｿﾒﾁﾝ115157ZB,M,50,P100,50M,127,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115769PL,染賃115769PL,ｿﾒﾁﾝ115769PL,M,50,P100,50M,125,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,390,325,278.6,243.8,216.7,195,195,195,,,,,,,,,表示する,
D/115859PA,染賃115859PA,ｿﾒﾁﾝ115859PA,M,50,P100,50M,127,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115859XC,染賃115859XC,ｿﾒﾁﾝ115859XC,M,50,P100,50M,97,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/123127ZF,染賃123127ZF,ｿﾒﾁﾝ123127ZF,M,50,TA67/P33,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/127250JD,染賃127250JD,ｿﾒﾁﾝ127250JD,M,50,TA67/P33,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,400,333.3,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
