コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
D/039428PX,染加工: 39428PX,ｿﾒｶｺｳ: 39428PX,M,50,P100,50M,160,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,560,466.7,400,350,311.1,280,280,280,,,,,,,,,表示する,
D/076410CB,染加工: 76410CB,ｿﾒｶｺｳ: 76410CB,M,50,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/076410CC,染加工: 76410CC,ｿﾒｶｺｳ: 76410CC,M,50,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/076410CX,染加工: 76410CX,ｿﾒｶｺｳ: 76410CX,M,50,TA64/P13/R12/RA11,50,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/078019BA,染加工: 78019BA,ｿﾒｶｺｳ: 78019BA,M,50,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/078019VA,染加工: 78019VA,ｿﾒｶｺｳ: 78019VA,M,50,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/078019VB,染加工: 78019VB,ｿﾒｶｺｳ: 78019VB,M,50,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/078019VX,染加工: 78019VX,ｿﾒｶｺｳ: 78019VX,M,50,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/079664CB,染加工: 79664CB,ｿﾒｶｺｳ: 79664CB,M,50,TA55/P45,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/079664FX,染加工: 79664FX,ｿﾒｶｺｳ: 79664FX,M,50,TA55/P45,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
