商品コード,商品名/摘要,単位,入数,ケース,仕入日,伝票番号,取引区分,締切,仕入先コード,仕入先名,税転嫁,担当者コード,担当者名,内訳,入荷,倉庫コード,倉庫名,数量,単価,金額,主プロジェクトコード,副プロジェクトコード,プロジェクト名,課税区分,備考,発注番号
D/SAMPLE,見本:染色加工賃 試織:99489,M,0 ,0 ,2015年11月01日,00001978,掛仕入,今回,430,東北整練株式会社,外税/伝票計,X9,諸橋寿志,通常,,0000,共通倉庫,11.2 ,500 ,"5,600 ",,,,課税 8.0%,15-S308,
D/SAMPLE,見本:染色加工賃 試織:99481,M,0 ,0 ,2015年11月01日,00001978,掛仕入,今回,430,東北整練株式会社,外税/伝票計,X9,諸橋寿志,通常,,0000,共通倉庫,10.1 ,500 ,"5,050 ",,,,課税 8.0%,15-S297,
D/099442YX,099442YX:染色加工賃,M,0 ,0 ,2015年11月03日,00002419,掛仕入,今回,136,岐セン株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,2 ,500 ,"1,000 ",,,,課税 8.0%,15M1019-M1,
D/SAMPLE,見本:染色加工賃 GT-45618,M,0 ,0 ,2015年11月03日,00002419,掛仕入,今回,136,岐セン株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,2 ,500 ,"1,000 ",,,,課税 8.0%,15M1017-M1,
D/098533YB,098533YB:染色加工賃,M,0 ,0 ,2015年11月04日,00002428,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,3 ,180 ,540 ,,,,課税 8.0%,15M1006-1,
D/126947LA,126947LA:染加工賃,Y,0 ,0 ,2015年11月04日,00002429,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,130.4 ,237 ,"30,904 ",,,,課税 8.0%,15M1006-2,
J/076410CB,76410CB:整経賃,反,0 ,0 ,2015年11月05日,00002431,掛仕入,今回,831,菱光サイジング株式会社　金津工場,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,37 ,"1,824 ","67,488 ",,,,課税 8.0%,11/5 11-18401,
J/076410CB-A,76410CB:畦取賃,玉,0 ,0 ,2015年11月05日,00002431,掛仕入,今回,831,菱光サイジング株式会社　金津工場,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,1 ,600 ,600 ,,,,課税 8.0%,11/5 11-18401,
J/076410CB,76410CB:整経賃,反,0 ,0 ,2015年11月05日,00002432,掛仕入,今回,831,菱光サイジング株式会社　金津工場,外税/伝票計,B,板鼻健太郎B,通常,,0000,共通倉庫,25 ,"1,824 ","45,600 ",,,,課税 8.0%,11/5 11-18401,
D/099442YX,099442YX:染色加工賃,M,0 ,0 ,2015年11月04日,00002449,掛仕入,今回,136,岐セン株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,17 ,500 ,"8,500 ",,,,課税 8.0%,15M1019-M1,
