行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
1,1,,3,1,5/098477YX,6,7,,50,生機: 98477YX,,0284 ,A,,P54/CU46,50M,145,1,30954,30954, 98477YX,284, ,1,B,,,1,50,,,A,01 B4388 A ,,,2014/1/28,  HP1429,98477,,下済,3,1
2,1,,4,1,5/099022YX,6,7,,52.9,生機: 99022YX,,0001 ,B,,C51/TA27/P20/PU2,50M,140,1,50,50, 99022YX,1, ,,B,114153A0,I076 ,1,52.9,15.2,1,B,6000,        ,   ,2014/4/11,    ,99022,,下済,4,1
3,1,,5,1,5/099022YX,6,7,,54.9,生機: 99022YX,,0002 ,A,,C51/TA27/P20/PU2,50M,140,1,50,50, 99022YX,2, ,,B,114153A0,I076 ,1,54.9,15.8, ,A,1000,        ,   ,2014/4/14,    ,99022,,下済,5,1
4,2,,5,1,5/099022YX,6,7,,40.9,生機: 99022YX,,0003 ,B,,C51/TA27/P20/PU2,50M,140,1,50,50, 99022YX,3, ,,B,114153A0,I076 ,1,40.9,11.7, ,B,1000,        ,   ,2014/4/14,    ,99022,,下済,5,2
5,1,,6,1,5/074993LB,6,7,,25,生機: 74993LB,,0001A,A,,TA64/CU36,50M,148,0.5,50,25, 74993LB,1,A,,B,,,0.5,25,,,A,04 B3333 A ,,,2014/7/21,101041,74993,,下済,6,1
6,1,,7,1,5/098727VX,6,7,,57.4,生機: 98727VX,,5002 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5002, ,,B,214426A0,I079 ,1,57.4,11.2, ,A,1000,        ,   ,2014/10/29,1215,98727,,下済,7,1
7,2,,7,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5003 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5003, ,,B,214426A0,I079 ,1,57.9,11.3, ,A,1000,        ,   ,2014/10/29,1215,98727,,下済,7,2
8,3,,7,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5004 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5004, ,,B,214426A0,I079 ,1,57.9,11.3, ,A,1000,        ,   ,2014/10/29,1215,98727,,下済,7,3
9,4,,7,1,5/098727VX,6,7,,57.4,生機: 98727VX,,5027 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5027, ,,B,214426B0,I080 ,1,57.4,11.3, ,A,1000,        ,   ,2014/10/29,1215,98727,,下済,7,4
10,5,,7,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5028 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5028, ,,B,214426B0,I080 ,1,57.9,11.3, ,A,1000,        ,   ,2014/10/29,1215,98727,,下済,7,5
11,1,,8,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5030 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5030, ,,B,214426B0,I080 ,1,57.8,11.3, ,A,1000,        ,   ,2014/10/30,1215,98727,,下済,8,1
12,2,,8,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5031 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5031, ,,B,214426B0,I080 ,1,57.9,11.3, ,A,1000,        ,   ,2014/10/30,1215,98727,,下済,8,2
13,1,,9,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5005 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5005, ,,B,214426A0,I079 ,1,57.8,11.3, ,A,1000,        ,   ,2014/10/31,1215,98727,,下済,9,1
14,2,,9,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5006 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5006, ,,B,214426A0,I079 ,1,57.9,11.3, ,A,1000,        ,   ,2014/10/31,1215,98727,,下済,9,2
15,3,,9,1,5/098727VX,6,7,,57.7,生機: 98727VX,,5007 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5007, ,,B,214426A0,I079 ,1,57.7,11.3, ,A,1000,        ,   ,2014/10/31,1215,98727,,下済,9,3
16,1,,10,1,5/098727VX,6,7,,58,生機: 98727VX,,5008 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5008, ,,B,214426A0,I079 ,1,58,11.3, ,A,1000,        ,   ,2014/11/1,1215,98727,,下済,10,1
17,2,,10,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5009 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5009, ,,B,214426A0,I079 ,1,57.9,11.3, ,A,1000,        ,   ,2014/11/1,1215,98727,,下済,10,2
18,3,,10,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5010 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5010, ,,B,214426A0,I079 ,1,57.9,11.3, ,A,1000,        ,   ,2014/11/1,1215,98727,,下済,10,3
19,4,,10,1,5/098727VX,6,7,,57.7,生機: 98727VX,,5032 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5032, ,,B,214426B0,I080 ,1,57.7,11.3, ,A,1000,        ,   ,2014/11/1,1215,98727,,下済,10,4
20,5,,10,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5033 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5033, ,,B,214426B0,I080 ,1,57.8,11.3, ,A,1000,        ,   ,2014/11/1,1215,98727,,下済,10,5
21,1,,11,1,5/098727VX,6,7,,57.4,生機: 98727VX,,5035 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5035, ,,B,214426B0,I080 ,1,57.4,11.3, ,A,1000,        ,   ,2014/11/5,1215,98727,,下済,11,1
22,2,,11,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5036 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5036, ,,B,214426B0,I080 ,1,57.9,11.3, ,A,1000,        ,   ,2014/11/5,1215,98727,,下済,11,2
23,3,,11,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5037 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5037, ,,B,214426B0,I080 ,1,57.9,11.3, ,A,1000,        ,   ,2014/11/5,1215,98727,,下済,11,3
24,1,,12,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5016 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5016, ,,B,214426A0,I079 ,1,57.8,11.3, ,A,1000,        ,   ,2014/11/6,1215,98727,,下済,12,1
25,2,,12,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5038 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5038, ,,B,214426B0,I080 ,1,57.9,11.3, ,A,1000,        ,   ,2014/11/6,1215,98727,,下済,12,2
26,3,,12,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5039 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5039, ,,B,214426B0,I080 ,1,57.8,11.3, ,A,1000,        ,   ,2014/11/6,1215,98727,,下済,12,3
27,1,,13,1,5/390002YX,6,7,,56.2,生機:390002YX,,5001 ,B,,P100,50M,140,1,50,50,390002YX,5001, ,,B,114490A0,I003 ,1,56.2,6.5, ,B,0,        ,   ,2014/11/7,    ,390002,,下済,13,1
28,1,,14,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5019 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5019, ,,B,214426A0,I079 ,1,57.8,11.3, ,A,1000,        ,   ,2014/11/8,1215,98727,,下済,14,1
29,2,,14,1,5/098727VX,6,7,,58,生機: 98727VX,,5042 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5042, ,,B,214426B0,I080 ,1,58,11.4, ,A,1000,        ,   ,2014/11/8,1215,98727,,下済,14,2
30,1,,15,1,5/390003YX,6,7,,53,生機:390003YX,,5001 ,B,,P100,50M,140,1,50,50,390003YX,5001, ,,B,114490A1,I003 ,1,53,8.7, ,B,1000,        ,   ,2014/11/10,    ,390003,,下済,15,1
31,1,,16,1,5/099152YX,6,7,,59.2,生機: 99152YX,,5001 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5001, ,,B,214426A1,I079 ,1,59.2,10.8, ,A,1000,        ,   ,2014/11/21,1350,99152,,下済,16,1
32,2,,16,1,5/099152YX,6,7,,56.8,生機: 99152YX,,5006 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5006, ,,B,214426B1,I080 ,1,56.8,10.4, ,A,1000,        ,   ,2014/11/21,1350,99152,,下済,16,2
33,3,,16,1,5/390004YX,6,7,,41.3,生機:390004YX,,5001 ,B,,P100,50M,140,1,50,50,390004YX,5001, ,,B,114490A2,I003 ,1,41.3,5.7, ,B,1000,        ,   ,2014/11/21,    ,390004,,下済,16,3
34,1,,17,1,5/099152YX,6,7,,53.6,生機: 99152YX,,5002 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5002, ,,B,214426A1,I079 ,1,53.6,9.8, ,A,1000,        ,   ,2014/11/25,1350,99152,,下済,17,1
35,2,,17,1,5/099152YX,6,7,,57.1,生機: 99152YX,,5003 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5003, ,,B,214426A1,I079 ,1,57.1,10.4, ,A,1000,        ,   ,2014/11/25,1350,99152,,下済,17,2
