行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
1001,3,,201,1,5/099408YX,6,7,,75.9,生機: 99408YX,,5037 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5037, ,,B,215508A0,I009 ,1,75.9,25.4, ,A,1000,        ,   ,2016/8/2,1777,99408,,正常,201,3
1002,4,,201,1,5/099408YX,6,7,,76.6,生機: 99408YX,,5038 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5038, ,,B,215508A0,I009 ,1,76.6,25.6, ,A,1000,        ,   ,2016/8/2,1777,99408,,正常,201,4
1003,5,,201,1,5/099408YX,6,7,,77,生機: 99408YX,,5054 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5054, ,,B,215508B0,I037 ,1,77,25.6, ,A,1000,        ,   ,2016/8/2,1777,99408,,正常,201,5
1004,6,,201,1,5/099408YX,6,7,,77,生機: 99408YX,,5055 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5055, ,,B,215508B0,I037 ,1,77,25.6, ,A,1000,        ,   ,2016/8/2,1777,99408,,正常,201,6
1005,7,,201,1,5/099408YX,6,7,,76.5,生機: 99408YX,,5069 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5069, ,,B,215508C0,I072 ,1,76.5,25.5, ,A,1000,        ,   ,2016/8/2,1777,99408,,正常,201,7
1006,8,,201,1,5/099408YX,6,7,,76.5,生機: 99408YX,,5070 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5070, ,,B,215508C0,I072 ,1,76.5,25.5, ,A,1000,        ,   ,2016/8/2,1777,99408,,正常,201,8
1007,9,,201,1,5/171017YA,6,7,,56.5,生機:171017YA,,6082 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6082, ,,B,225516A0,I030 ,1,56.5,14.3, ,A,1000,        ,   ,2016/8/2,1803,171017,,正常,201,9
1008,10,,201,1,5/171017YA,6,7,,56.6,生機:171017YA,,6083 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6083, ,,B,225516A0,I030 ,1,56.6,14.3, ,A,1000,        ,   ,2016/8/2,1084,171017,,正常,201,10
1009,11,,201,1,5/171017YA,6,7,,57,生機:171017YA,,6132 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6132, ,,B,225516B0,I011 ,1,57,14.4, ,A,1000,        ,   ,2016/8/2,1803,171017,,正常,201,11
1010,12,,201,1,5/171017YA,6,7,,57,生機:171017YA,,6133 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6133, ,,B,225516B0,I011 ,1,57,14.4, ,A,1000,        ,   ,2016/8/2,1084,171017,,正常,201,12
1011,13,,201,1,5/291041YX,6,7,,65.9,生機:291041YX,,5019 ,A,,P100,60M,150,1,5700,5700,291041YX,5019, ,1,B,115586A0,I035 ,1,65.9,5.1, ,A,1000,        ,   ,2016/8/2,1686,291041,,正常,201,13
1012,14,,201,1,5/291041YX,6,7,,65.9,生機:291041YX,,5020 ,A,,P100,60M,150,1,5700,5700,291041YX,5020, ,1,B,115586A0,I035 ,1,65.9,5.1, ,A,1000,        ,   ,2016/8/2,1686,291041,,正常,201,14
1013,1,,202,1,5/099208GX,6,7,,61.5,生機: 99208GX,,5119 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5119, ,1,B,225421C0,I034 ,1,61.5,7.9, ,A,1000,        ,   ,2016/8/3,1632,99208,,正常,202,1
1014,2,,202,1,5/099208GX,6,7,,61.6,生機: 99208GX,,5120 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5120, ,1,B,225421C0,I034 ,1,61.6,7.9, ,A,1000,        ,   ,2016/8/3,1632,99208,,正常,202,2
1015,3,,202,1,5/099208GX,6,7,,61.9,生機: 99208GX,,5259 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5259, ,1,B,225422C0,I032 ,1,61.9,8.1, ,A,1000,        ,   ,2016/8/3,1632,99208,,正常,202,3
1016,4,,202,1,5/099208GX,6,7,,62.1,生機: 99208GX,,5260 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5260, ,1,B,225422C0,I032 ,1,62.1,8.1, ,A,1000,        ,   ,2016/8/3,1632,99208,,正常,202,4
1017,5,,202,1,5/099408YX,6,7,,76.4,生機: 99408YX,,5071 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5071, ,,B,215508C0,I072 ,1,76.4,25.4, ,A,1000,        ,   ,2016/8/3,1777,99408,,正常,202,5
1018,6,,202,1,5/171017YA,6,7,,56.4,生機:171017YA,,6084 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6084, ,,B,225516A0,I030 ,1,56.4,14.3, ,A,1000,        ,   ,2016/8/3,1803,171017,,正常,202,6
1019,7,,202,1,5/171017YA,6,7,,56.6,生機:171017YA,,6085 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6085, ,,B,225516A0,I030 ,1,56.6,14.3, ,A,1000,        ,   ,2016/8/3,1803,171017,,正常,202,7
1020,8,,202,1,5/171020YX,6,7,,53.8,生機:171020YX,,5298 ,B,,R56/TA28/P16,50M,130,1,39017,39017,171020YX,5298, ,,B,225511C0,I024 ,1,53.8,15.8, ,B,1000,        ,   ,2016/8/3,1515,171020,,正常,202,8
1021,9,,202,1,5/291041YX,6,7,,66.4,生機:291041YX,,5021 ,A,,P100,60M,150,1,5700,5700,291041YX,5021, ,1,B,115586A0,I035 ,1,66.4,5.1, ,A,1000,        ,   ,2016/8/3,1686,291041,,正常,202,9
1022,10,,202,1,5/291041YX,6,7,,65.4,生機:291041YX,,5022 ,A,,P100,60M,150,1,5700,5700,291041YX,5022, ,1,B,115586A0,I035 ,1,65.4,5, ,A,1000,        ,   ,2016/8/3,1686,291041,,正常,202,10
1023,1,,203,1,5/098413ZX,6,7,,56,生機: 98413ZX,,5299 ,A,,TA57/P30/C13,50M,140,1,40307,40307, 98413ZX,5299, ,,B,225514A2,I019 ,1,56,18.6, ,A,1000,        ,   ,2016/8/4,1195,98413,,正常,203,1
1024,2,,203,1,5/098413ZX,6,7,,54.8,生機: 98413ZX,,5337 ,A,,TA57/P30/C13,50M,140,1,40307,40307, 98413ZX,5337, ,,B,225514B2,I079 ,1,54.8,18.2, ,A,1000,        ,   ,2016/8/4,1195,98413,,正常,203,2
1025,3,,203,1,5/099208GX,6,7,,61.5,生機: 99208GX,,5121 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5121, ,1,B,225421C0,I034 ,1,61.5,7.9, ,A,1000,        ,   ,2016/8/4,1632,99208,,正常,203,3
1026,4,,203,1,5/099208GX,6,7,,61.6,生機: 99208GX,,5122 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5122, ,1,B,225421C0,I034 ,1,61.6,7.9, ,A,1000,        ,   ,2016/8/4,1632,99208,,正常,203,4
1027,5,,203,1,5/099208GX,6,7,,61.7,生機: 99208GX,,5261 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5261, ,1,B,225422C0,I032 ,1,61.7,8.1, ,A,1000,        ,   ,2016/8/4,1632,99208,,正常,203,5
1028,6,,203,1,5/099208GX,6,7,,61.9,生機: 99208GX,,5262 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5262, ,1,B,225422C0,I032 ,1,61.9,8.1, ,A,1000,        ,   ,2016/8/4,1632,99208,,正常,203,6
1029,7,,203,1,5/099408YX,6,7,,67.3,生機: 99408YX,,5040 ,A,,AC64/CU36,50M,130,1,61656,61656, 99408YX,5040, ,,B,215508A0,I009 ,1,67.3,22.5, ,A,1000,        ,   ,2016/8/4,1777,99408,,正常,203,7
1030,8,,203,1,5/171017YA,6,7,,56.8,生機:171017YA,,6134 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6134, ,,B,225516B0,I011 ,1,56.8,14.4, ,A,1000,        ,   ,2016/8/4,1803,171017,,正常,203,8
1031,9,,203,1,5/171017YA,6,7,,56.6,生機:171017YA,,6135 ,A,,R65/TA22/P13,50M,130,1,32523,32523,171017YA,6135, ,,B,225516B0,I011 ,1,56.6,14.3, ,A,1000,        ,   ,2016/8/4,1803,171017,,正常,203,9
1032,10,,203,1,5/291041YX,6,7,,65.8,生機:291041YX,,5024 ,A,,P100,60M,150,1,5700,5700,291041YX,5024, ,1,B,115586A0,I035 ,1,65.8,5.1, ,A,1000,        ,   ,2016/8/4,1686,291041,,正常,203,10
1033,11,,203,1,5/291043YX,6,7,,55.8,生機:291043YX,,5011 ,A,,P100,50M,150,1,0,0,291043YX,5011, ,1,B,215415A9,I074 ,1,55.8,6.3, ,A,1000,        ,   ,2016/8/4,1336,291043,,#N/A,203,11
1034,12,,203,1,5/291043YX,6,7,,55.7,生機:291043YX,,5012 ,A,,P100,50M,150,1,0,0,291043YX,5012, ,1,B,215415A9,I074 ,1,55.7,6.3, ,A,1000,        ,   ,2016/8/4,1336,291043,,#N/A,203,12
1035,13,,203,1,5/291043YX,6,7,,55.8,生機:291043YX,,5013 ,A,,P100,50M,150,1,0,0,291043YX,5013, ,1,B,215415A9,I074 ,1,55.8,6.3, ,A,1000,        ,   ,2016/8/4,1336,291043,,#N/A,203,13
1036,1,,204,1,5/099208GX,6,7,,61.6,生機: 99208GX,,5123 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5123, ,1,B,225421C0,I034 ,1,61.6,7.9, ,A,1000,        ,   ,2016/8/5,1632,99208,,正常,204,1
1037,2,,204,1,5/099208GX,6,7,,61.4,生機: 99208GX,,5124 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5124, ,1,B,225421C0,I034 ,1,61.4,7.9, ,A,1000,        ,   ,2016/8/5,1632,99208,,正常,204,2
1038,3,,204,1,5/099208GX,6,7,,62.2,生機: 99208GX,,5263 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5263, ,1,B,225422C0,I032 ,1,62.2,8.1, ,A,1000,        ,   ,2016/8/5,1632,99208,,正常,204,3
1039,4,,204,1,5/099208GX,6,7,,62.1,生機: 99208GX,,5264 ,A,,CU100,50M,135,1,10853,10853, 99208GX,5264, ,1,B,225422C0,I032 ,1,62.1,8.1, ,A,1000,        ,   ,2016/8/5,1632,99208,,正常,204,4
