行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
2001,15,,279,1,5/290072ZA,6,7,,58.4,生機:290072ZA,,6212 ,A,,P100,50M,150,1,0,0,290072ZA,6212, ,1,B,225678B0,I068 ,1,58.4,11.7, ,A,1000,        ,   ,2016/11/17,1860,290072,,正常,279,15
2002,16,,279,1,5/290072ZA,6,7,,58.8,生機:290072ZA,,6213 ,A,,P100,50M,150,1,0,0,290072ZA,6213, ,1,B,225678B0,I068 ,1,58.8,11.8, ,A,1000,        ,   ,2016/11/17,1860,290072,,正常,279,16
2003,17,,279,1,5/290072ZA,6,7,,58.8,生機:290072ZA,,6268 ,A,,P100,50M,150,1,0,0,290072ZA,6268, ,1,B,225679A0,I077 ,1,58.8,11.8, ,A,1000,        ,   ,2016/11/17,1860,290072,,正常,279,17
2004,18,,279,1,5/290072ZA,6,7,,58.8,生機:290072ZA,,6269 ,A,,P100,50M,150,1,0,0,290072ZA,6269, ,1,B,225679A0,I077 ,1,58.8,11.8, ,A,1000,        ,   ,2016/11/17,1860,290072,,正常,279,18
2005,19,,279,1,5/290072ZA,6,7,,58.5,生機:290072ZA,,6351 ,A,,P100,50M,150,1,0,0,290072ZA,6351, ,1,B,225679B0,I079 ,1,58.5,11.6, ,A,1000,        ,   ,2016/11/17,1338,290072,,正常,279,19
2006,20,,279,1,5/290072ZA,6,7,,58.9,生機:290072ZA,,6352 ,A,,P100,50M,150,1,0,0,290072ZA,6352, ,1,B,225679B0,I079 ,1,58.9,11.7, ,A,1000,        ,   ,2016/11/17,1338,290072,,正常,279,20
2007,1,,280,1,5/099220JX,6,7,,60.6,生機: 99220JX,,6044 ,A,,P100,50M,140,1,25112,25112, 99220JX,6044, ,,B,225593A0,I074 ,1,60.6,11.3, ,A,1000,        ,   ,2016/11/18,1774,99220,,正常,280,1
2008,2,,280,1,5/099220JX,6,7,,60.5,生機: 99220JX,,6045 ,A,,P100,50M,140,1,25112,25112, 99220JX,6045, ,,B,225593A0,I074 ,1,60.5,11.3, ,A,1000,        ,   ,2016/11/18,1774,99220,,正常,280,2
2009,3,,280,1,5/099268YX,6,7,,62.9,生機: 99268YX,,6110 ,A,,R49/TA45/P6,50M,135,1,40156,40156, 99268YX,6110, ,,B,215565A0,I059 ,1,62.9,17.2, ,A,1000,        ,   ,2016/11/18,1836,99268,,正常,280,3
2010,4,,280,1,5/099268YX,6,7,,62.9,生機: 99268YX,,6111 ,A,,R49/TA45/P6,50M,135,1,40156,40156, 99268YX,6111, ,,B,215565A0,I059 ,1,62.9,17.2, ,A,1000,        ,   ,2016/11/18,1836,99268,,正常,280,4
2011,5,,280,1,5/099268YX,6,7,,63.2,生機: 99268YX,,6150 ,A,,R49/TA45/P6,50M,135,1,40156,40156, 99268YX,6150, ,,B,215565B0,I017 ,1,63.2,17.6, ,A,1000,        ,   ,2016/11/18,1836,99268,,正常,280,5
2012,6,,280,1,5/099268YX,6,7,,63.2,生機: 99268YX,,6151 ,A,,R49/TA45/P6,50M,135,1,40156,40156, 99268YX,6151, ,,B,215565B0,I017 ,1,63.2,17.6, ,A,1000,        ,   ,2016/11/18,1836,99268,,正常,280,6
2013,7,,280,1,5/099268YX,6,7,,62.7,生機: 99268YX,,6191 ,A,,R49/TA45/P6,50M,135,1,40156,40156, 99268YX,6191, ,,B,215565C0,I037 ,1,62.7,17.1, ,A,1000,        ,   ,2016/11/18,1836,99268,,正常,280,7
2014,8,,280,1,5/099268YX,6,7,,62.6,生機: 99268YX,,6192 ,A,,R49/TA45/P6,50M,135,1,40156,40156, 99268YX,6192, ,,B,215565C0,I037 ,1,62.6,17.1, ,A,1000,        ,   ,2016/11/18,1836,99268,,正常,280,8
2015,9,,280,1,5/290072ZA,6,7,,58.9,生機:290072ZA,,6123 ,A,,P100,50M,150,1,0,0,290072ZA,6123, ,1,B,225678A0,I046 ,1,58.9,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,9
2016,10,,280,1,5/290072ZA,6,7,,58.8,生機:290072ZA,,6124 ,A,,P100,50M,150,1,0,0,290072ZA,6124, ,1,B,225678A0,I046 ,1,58.8,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,10
2017,11,,280,1,5/290072ZA,6,7,,58.9,生機:290072ZA,,6125 ,A,,P100,50M,150,1,0,0,290072ZA,6125, ,1,B,225678A0,I046 ,1,58.9,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,11
2018,12,,280,1,5/290072ZA,6,7,,58.7,生機:290072ZA,,6126 ,A,,P100,50M,150,1,0,0,290072ZA,6126, ,1,B,225678A0,I046 ,1,58.7,11.7, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,12
2019,13,,280,1,5/290072ZA,6,7,,58.8,生機:290072ZA,,6214 ,A,,P100,50M,150,1,0,0,290072ZA,6214, ,1,B,225678B0,I068 ,1,58.8,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,13
2020,14,,280,1,5/290072ZA,6,7,,59,生機:290072ZA,,6215 ,A,,P100,50M,150,1,0,0,290072ZA,6215, ,1,B,225678B0,I068 ,1,59,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,14
2021,15,,280,1,5/290072ZA,6,7,,58.7,生機:290072ZA,,6216 ,A,,P100,50M,150,1,0,0,290072ZA,6216, ,1,B,225678B0,I068 ,1,58.7,11.7, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,15
2022,16,,280,1,5/290072ZA,6,7,,58.8,生機:290072ZA,,6217 ,A,,P100,50M,150,1,0,0,290072ZA,6217, ,1,B,225678B0,I068 ,1,58.8,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,16
2023,17,,280,1,5/290072ZA,6,7,,58.6,生機:290072ZA,,6270 ,A,,P100,50M,150,1,0,0,290072ZA,6270, ,1,B,225679A0,I077 ,1,58.6,11.7, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,17
2024,18,,280,1,5/290072ZA,6,7,,59,生機:290072ZA,,6271 ,A,,P100,50M,150,1,0,0,290072ZA,6271, ,1,B,225679A0,I077 ,1,59,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,18
2025,19,,280,1,5/290072ZA,6,7,,59,生機:290072ZA,,6272 ,A,,P100,50M,150,1,0,0,290072ZA,6272, ,1,B,225679A0,I077 ,1,59,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,19
2026,20,,280,1,5/290072ZA,6,7,,59,生機:290072ZA,,6273 ,A,,P100,50M,150,1,0,0,290072ZA,6273, ,1,B,225679A0,I077 ,1,59,11.8, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,20
2027,21,,280,1,5/290072ZA,6,7,,58.5,生機:290072ZA,,6353 ,A,,P100,50M,150,1,0,0,290072ZA,6353, ,1,B,225679B0,I079 ,1,58.5,11.6, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,21
2028,22,,280,1,5/290072ZA,6,7,,58.7,生機:290072ZA,,6354 ,A,,P100,50M,150,1,0,0,290072ZA,6354, ,1,B,225679B0,I079 ,1,58.7,11.7, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,22
2029,23,,280,1,5/290072ZA,6,7,,58.7,生機:290072ZA,,6355 ,A,,P100,50M,150,1,0,0,290072ZA,6355, ,1,B,225679B0,I079 ,1,58.7,11.7, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,23
2030,24,,280,1,5/290072ZA,6,7,,58.7,生機:290072ZA,,6356 ,A,,P100,50M,150,1,0,0,290072ZA,6356, ,1,B,225679B0,I079 ,1,58.7,11.7, ,A,1000,        ,   ,2016/11/18,1860,290072,,正常,280,24
