行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
3001,33,,352,1,5/295000YA,6,7,,68.7,生機:295000YA,,9169 ,A,,TA65/P35,50M,138,1,12100,12100,295000YA,9169, ,,B,225746A0,I048 ,1,68.7,16.9, ,A,1000,        ,   ,2017/2/23,1462,295000,,正常,352,33
3002,34,,352,1,5/295000YA,6,7,,69.2,生機:295000YA,,9217 ,A,,TA65/P35,50M,138,1,12100,12100,295000YA,9217, ,,B,225746B0,I045 ,1,69.2,16.9, ,A,1000,        ,   ,2017/2/23,1462,295000,,正常,352,34
3003,35,,352,1,5/295000YA,6,7,,69.3,生機:295000YA,,9218 ,A,,TA65/P35,50M,138,1,12100,12100,295000YA,9218, ,,B,225746B0,I045 ,1,69.3,16.9, ,A,1000,        ,   ,2017/2/23,1462,295000,,正常,352,35
3004,36,,352,1,5/295000YA,6,7,,69.1,生機:295000YA,,9265 ,A,,TA65/P35,50M,138,1,12100,12100,295000YA,9265, ,,B,225747A0,I044 ,1,69.1,16.9, ,A,1000,        ,   ,2017/2/23,1462,295000,,正常,352,36
3005,37,,352,1,5/295000YA,6,7,,68.7,生機:295000YA,,9266 ,A,,TA65/P35,50M,138,1,12100,12100,295000YA,9266, ,,B,225747A0,I044 ,1,68.7,16.8, ,A,1000,        ,   ,2017/2/23,1462,295000,,正常,352,37
3006,38,,352,1,5/295000YA,6,7,,69,生機:295000YA,,9407 ,A,,TA65/P35,50M,138,1,12100,12100,295000YA,9407, ,,B,225826B0,I028 ,1,69,16.8, ,A,1000,        ,   ,2017/2/23,1462,295000,,正常,352,38
3007,39,,352,1,5/295000YA,6,7,,69,生機:295000YA,,9408 ,A,,TA65/P35,50M,138,1,12100,12100,295000YA,9408, ,,B,225826B0,I028 ,1,69,16.8, ,A,1000,        ,   ,2017/2/23,1462,295000,,正常,352,39
3008,40,,352,1,5/295027YX,6,7,,59.8,生機:295027YX,,6018 ,C,,TA55/R35/P10,50M,115,1,19191,19191,295027YX,6018, ,,B,215773A2,I043 ,1,59.8,13.1, ,C,0,        ,   ,2017/2/23,    ,295027,,正常,352,40
3009,1,,353,1,5/102633ZX,6,7,,67.5,生機:102633ZX,,6031 ,A,,P52/TA48,50M,145,1,25918,25918,102633ZX,6031, ,,B,225765A0,I063 ,1,67.5,14, ,A,1000,        ,   ,2017/2/24,1942,102633,,正常,353,1
3010,2,,353,1,5/102633ZX,6,7,,66.8,生機:102633ZX,,6032 ,A,,P52/TA48,50M,145,1,25918,25918,102633ZX,6032, ,,B,225765A0,I063 ,1,66.8,13.8, ,A,1000,        ,   ,2017/2/24,1942,102633,,正常,353,2
