行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
4001,1,,646,1,5/171031ZX,6,7,,60,生機:171031ZX,,5098 ,B,,R59/P41,50M,135,1,50,50,171031ZX,5098, ,,E,225148A0,I052 ,1,60,18.9, ,B,1000,        ,   ,2016/1/26,1951,171031,,下済,646,1
4002,2,,646,1,5/171031ZX,6,7,,60.2,生機:171031ZX,,5099 ,A,,R59/P41,50M,135,1,50,50,171031ZX,5099, ,,E,225148A0,I052 ,1,60.2,19, ,A,1000,        ,   ,2016/1/26,1951,171031,,下済,646,2
4003,3,,646,1,5/171031ZX,6,7,,59.7,生機:171031ZX,,5180 ,B,,R59/P41,50M,135,1,50,50,171031ZX,5180, ,,E,225212B0,I023 ,1,59.7,18.9, ,B,1000,        ,   ,2016/1/26,1951,171031,,下済,646,3
4004,4,,646,1,5/171031ZX,6,7,,60.4,生機:171031ZX,,5181 ,B,,R59/P41,50M,135,1,50,50,171031ZX,5181, ,,E,225212B0,I023 ,1,60.4,19.1, ,B,1000,        ,   ,2016/1/26,1951,171031,,下済,646,4
4005,1,,647,1,5/171031ZX,6,7,,59.7,生機:171031ZX,,5131 ,A,,R59/P41,50M,135,1,50,50,171031ZX,5131, ,,E,225148B0,I049 ,1,59.7,18.7, ,A,1000,        ,   ,2016/1/27,1951,171031,,下済,647,1
4006,2,,647,1,5/171031ZX,6,7,,60.1,生機:171031ZX,,5132 ,A,,R59/P41,50M,135,1,50,50,171031ZX,5132, ,,E,225148B0,I049 ,1,60.1,18.9, ,A,1000,        ,   ,2016/1/27,1951,171031,,下済,647,2
4007,3,,647,1,5/171031ZX,6,7,,60.3,生機:171031ZX,,5148 ,A,,R59/P41,50M,135,1,50,50,171031ZX,5148, ,,E,225212A0,I066 ,1,60.3,19.3, ,A,1000,        ,   ,2016/1/27,1951,171031,,下済,647,3
4008,4,,647,1,5/171031ZX,6,7,,60.2,生機:171031ZX,,5149 ,A,,R59/P41,50M,135,1,50,50,171031ZX,5149, ,,E,225212A0,I066 ,1,60.2,19.3, ,A,1000,        ,   ,2016/1/27,1951,171031,,下済,647,4
4009,5,,647,1,5/171031ZX,6,7,,59.6,生機:171031ZX,,5182 ,B,,R59/P41,50M,135,1,50,50,171031ZX,5182, ,,E,225212B0,I023 ,1,59.6,18.8, ,B,1000,        ,   ,2016/1/27,1951,171031,,下済,647,5
4010,6,,647,1,5/171031ZX,6,7,,60.2,生機:171031ZX,,5183 ,B,,R59/P41,50M,135,1,50,50,171031ZX,5183, ,,E,225212B0,I023 ,1,60.2,19, ,B,1000,        ,   ,2016/1/27,1951,171031,,下済,647,6
