行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
5001,10,,848,1,5/098849JX,6,7,,57.3,生機: 98849JX,,0025 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,25, ,,I,213660B1,I057 ,1,57.3,17.9, ,A,1000,        ,   ,2013/4/30,1390,98849,,下済,848,10
5002,11,,848,1,5/098849JX,6,7,,57.2,生機: 98849JX,,0026 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,26, ,,I,213660B1,I057 ,1,57.2,17.9, ,A,1000,        ,   ,2013/4/30,1390,98849,,下済,848,11
5003,12,,848,1,5/098849JX,6,7,,56.9,生機: 98849JX,,0027 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,27, ,,I,213660B1,I057 ,1,56.9,17.8, ,A,1000,        ,   ,2013/4/30,1390,98849,,下済,848,12
5004,1,,849,1,5/097514YX,6,7,,56.4,生機: 97514YX,,0067 ,A,,TA67/P33,50M,135,1,50,50, 97514YX,67, ,,I,213644A0,I070 ,1,56.4,11.2, ,A,1000,        ,   ,2013/5/1,1254,97514,,下済,849,1
5005,2,,849,1,5/097514YX,6,7,,56.1,生機: 97514YX,,0087 ,A,,TA67/P33,50M,135,1,50,50, 97514YX,87, ,,I,213644B0,I071 ,1,56.1,11.2, ,A,1000,        ,   ,2013/5/1,1254,97514,,下済,849,2
5006,3,,849,1,5/098849JX,6,7,,57.4,生機: 98849JX,,0028 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,28, ,,I,213660B1,I057 ,1,57.4,18, ,A,1000,        ,   ,2013/5/1,1390,98849,,下済,849,3
5007,4,,849,1,5/098849JX,6,7,,57.2,生機: 98849JX,,0029 ,B,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,29, ,,I,213660B1,I057 ,1,57.2,17.9, ,B,1000,        ,   ,2013/5/1,1506,98849,,下済,849,4
5008,5,,849,1,5/098849JX,6,7,,57,生機: 98849JX,,0030 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,30, ,,I,213660B1,I057 ,1,57,17.8, ,A,1000,        ,   ,2013/5/1,1506,98849,,下済,849,5
5009,6,,849,1,5/098849JX,6,7,,56.7,生機: 98849JX,,0031 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,31, ,,I,213660B1,I057 ,1,56.7,17.7, ,A,1000,        ,   ,2013/5/1,1390,98849,,下済,849,6
5010,7,,849,1,5/098849JX,6,7,,57.1,生機: 98849JX,,0032 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,32, ,,I,213660B1,I057 ,1,57.1,17.9, ,A,1000,        ,   ,2013/5/1,1390,98849,,下済,849,7
5011,8,,849,1,5/098849JX,6,7,,57,生機: 98849JX,,0033 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,33, ,,I,213660B1,I057 ,1,57,17.8, ,A,1000,        ,   ,2013/5/1,1390,98849,,下済,849,8
5012,1,,850,1,5/097514YX,6,7,,56,生機: 97514YX,,0068 ,A,,TA67/P33,50M,135,1,50,50, 97514YX,68, ,,I,213644A0,I070 ,1,56,11.1, ,A,1000,        ,   ,2013/5/2,1254,97514,,下済,850,1
5013,2,,850,1,5/097514YX,6,7,,56.8,生機: 97514YX,,0069 ,A,,TA67/P33,50M,135,1,50,50, 97514YX,69, ,,I,213644A0,I070 ,1,56.8,11.3, ,A,1000,        ,   ,2013/5/2,1254,97514,,下済,850,2
5014,3,,850,1,5/097514YX,6,7,,56.1,生機: 97514YX,,0088 ,A,,TA67/P33,50M,135,1,50,50, 97514YX,88, ,,I,213644B0,I071 ,1,56.1,11.2, ,A,1000,        ,   ,2013/5/2,1254,97514,,下済,850,3
5015,4,,850,1,5/126687ZB,6,7,,58.9,生機:126687ZB,,0001 ,B,,TA71/P29,50M,140,1,0,0,126687ZB,1, ,,I,213650A0,I030 ,1,58.9,11.1, ,B,1000,        ,   ,2013/5/2,1102,126687,,下済,850,4
5016,5,,850,1,5/126687ZB,6,7,,57.1,生機:126687ZB,,0031 ,B,,TA71/P29,50M,140,1,0,0,126687ZB,31, ,,I,213650B0,I076 ,1,57.1,10.9, ,B,1000,        ,   ,2013/5/2,1102,126687,,下済,850,5
5017,6,,850,1,5/126687ZB,6,7,,58.1,生機:126687ZB,,0032 ,B,,TA71/P29,50M,140,1,0,0,126687ZB,32, ,,I,213650B0,I076 ,1,58.1,11.1, ,B,1000,        ,   ,2013/5/2,1102,126687,,下済,850,6
5018,1,,851,1,5/097514YX,6,7,,55.6,生機: 97514YX,,0070 ,A,,TA67/P33,50M,135,1,50,50, 97514YX,70, ,,I,213644A0,I070 ,1,55.6,11.1, ,A,1000,        ,   ,2013/5/7,1254,97514,,下済,851,1
5019,2,,851,1,5/097514YX,6,7,,56.4,生機: 97514YX,,0089 ,A,,TA67/P33,50M,135,1,50,50, 97514YX,89, ,,I,213644B0,I071 ,1,56.4,11.2, ,A,1000,        ,   ,2013/5/7,1254,97514,,下済,851,2
5020,3,,851,1,5/126687ZB,6,7,,59,生機:126687ZB,,0002 ,B,,TA71/P29,50M,140,1,0,0,126687ZB,2, ,,I,213650A0,I030 ,1,59,11.1, ,B,1000,        ,   ,2013/5/7,1102,126687,,下済,851,3
5021,4,,851,1,5/126687ZB,6,7,,59.6,生機:126687ZB,,0003 ,A,,TA71/P29,50M,140,1,0,0,126687ZB,3, ,,I,213650A0,I030 ,1,59.6,11.2, ,A,1000,        ,   ,2013/5/7,1102,126687,,下済,851,4
5022,1,,852,1,5/098849JX,6,7,,60.6,生機: 98849JX,,0040 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,40, ,,I,213660B1,I057 ,1,60.6,19, ,A,1000,        ,   ,2013/5/8,1390,98849,,下済,852,1
5023,2,,852,1,5/098849JX,6,7,,56.8,生機: 98849JX,,0041 ,A,,TA45/R24/P22/C9,50M,132,1,50,50, 98849JX,41, ,,I,213660B1,I057 ,1,56.8,17.8, ,A,1000,        ,   ,2013/5/8,1390,98849,,下済,852,2
5024,1,,853,1,5/097514YX,6,7,,28,生機: 97514YX,,0072 ,A,,TA67/P33,50M,135,0.5,50,25, 97514YX,72, ,,I,213644A0,I070 ,0.5,28,5.6, ,A,1000,        ,   ,2013/5/9,    ,97514,,下済,853,1
