行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
6001,4,,1154,1,5/157796ZD,6,7,,61.1,生機:157796ZD,,6047 ,A,,P100,50M,153,1,20138,20138,157796ZD,6047, ,,L,215739A0,I005 ,1,61.1,16.3, ,A,1000,        ,   ,2017/1/19,1911,157796,,正常,1154,4
6002,5,,1154,1,5/157796ZD,6,7,,61.2,生機:157796ZD,,6048 ,A,,P100,50M,153,1,20138,20138,157796ZD,6048, ,,L,215739A0,I005 ,1,61.2,16.3, ,A,1000,        ,   ,2017/1/19,1911,157796,,正常,1154,5
6003,6,,1154,1,5/157796ZD,6,7,,61,生機:157796ZD,,6049 ,A,,P100,50M,153,1,20138,20138,157796ZD,6049, ,,L,215739A0,I005 ,1,61,16.3, ,A,1000,        ,   ,2017/1/19,1911,157796,,正常,1154,6
6004,7,,1154,1,5/157796ZF,6,7,,61.2,生機:157796ZF,,6099 ,A,,P100,50M,153,1,20138,20138,157796ZF,6099, ,,L,215739B1,I053 ,1,61.2,16.2, ,A,1000,        ,   ,2017/1/19,1303,157796,,正常,1154,7
6005,8,,1154,1,5/157796ZF,6,7,,61.1,生機:157796ZF,,6100 ,A,,P100,50M,153,1,20138,20138,157796ZF,6100, ,,L,215739B1,I053 ,1,61.1,16.1, ,A,1000,        ,   ,2017/1/19,1303,157796,,正常,1154,8
6006,9,,1154,1,5/157796ZF,6,7,,61.2,生機:157796ZF,,6101 ,A,,P100,50M,153,1,20138,20138,157796ZF,6101, ,,L,215739B1,I053 ,1,61.2,16.2, ,A,1000,        ,   ,2017/1/19,1303,157796,,正常,1154,9
6007,10,,1154,1,5/157796ZF,6,7,,61.1,生機:157796ZF,,6102 ,A,,P100,50M,153,1,20138,20138,157796ZF,6102, ,,L,215739B1,I053 ,1,61.1,16.1, ,A,1000,        ,   ,2017/1/19,1303,157796,,正常,1154,10
6008,1,,1155,1,5/135521LD,6,7,,56.8,生機:135521LD,,6014 ,A,,P73/R14/N13,50M,148,1,23740.1,23740,135521LD,6014, ,,L,115740A0,I077 ,1,56.8,15.3, ,A,1000,        ,   ,2017/1/20,1918,135521,,正常,1155,1
6009,2,,1155,1,5/135521LD,6,7,,57,生機:135521LD,,6015 ,A,,P73/R14/N13,50M,148,1,23740.1,23740,135521LD,6015, ,,L,115740A0,I077 ,1,57,15.4, ,A,1000,        ,   ,2017/1/20,1918,135521,,正常,1155,2
6010,3,,1155,1,5/157796ZD,6,7,,61.6,生機:157796ZD,,6050 ,B,,P100,50M,153,1,20138,20138,157796ZD,6050, ,,L,215739A0,I005 ,1,61.6,16.4, ,B,1000,        ,   ,2017/1/20,1911,157796,,正常,1155,3
6011,4,,1155,1,5/157796ZD,6,7,,61.1,生機:157796ZD,,6051 ,A,,P100,50M,153,1,20138,20138,157796ZD,6051, ,,L,215739A0,I005 ,1,61.1,16.3, ,A,1000,        ,   ,2017/1/20,1911,157796,,正常,1155,4
