,コード,名称,フリガナ,略称,郵便番号,住所１,住所２,部署名,役職名,ご担当者,敬称,TEL,FAX,メールアドレス,ホームページ,担当者,,取引区分,単価種類,掛率,締グループ,,金額端数処理,税端数処理,税転嫁,買掛残高,支払方法１,,,支払方法２,,,支払基準額,分け方,支払サイクル,支払日,サイト,取引銀行番号,振込先銀行名,銀行名フリガナ,取引支店番号,銀行本支店名,支店名フリガナ,口座関係,預金種類,口座番号,口座名義,口座名義フリガナ,顧客コード１,顧客コード２,手数料負担,振込方法,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,参照表示,更新日
,011,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽｶﾌﾞｼｷｶﾞｲｼｬ,旭化成アドバンス株式会社,5308205,大阪府大阪市北区中之島三丁目３番２３号,（中之島ダイビル）,アウターマテリアル事業部第一営業部,,,御中,06-7636-3923,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,"122,400 ",000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年02月22日
,014,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽ,旭化成アドバンス株式会社,910-8558,福井県福井市大手2丁目7-15,,,,,御中,0776-22-0120,0776-22-0129,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年04月21日
,058,ウラセ株式会社,ｳﾗｾｶﾌﾞｼｷｶﾞｲｼｬ,ウラセ㈱,9168550,福井県鯖江市神中町2丁目7-40,,,,,御中,0778-54-8000,,,,E,清田　祐也E,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年03月17日
,060,伊藤忠商事株式会社 北陸支店,,伊藤忠商事㈱ 北陸支店,920-0031,石川県金沢市広岡1-1-18,伊藤忠金沢ビル,,,,御中,076-265-5471,,,,E,清田　祐也E,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年04月14日
,074,株式会社エムズクリエイツ,ｶﾌﾞｼｷｶﾞｲｼｬｴﾑｽﾞｸﾘｴｲﾂ,㈱エムズクリエイツ,102-0084,東京都千代田区二番町1-2-831,,,代表取締役,諸我勝典,様,,,,,L,上村　茂L,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年07月16日
,077,株式会社ウエマツ,ｶﾌﾞｼｷｶﾞｲｼｬｳｴﾏﾂ,㈱ウエマツ,919-0321,福井県福井市下河北町第７号５番地４,,,,,様,0776-38-9700,0776-38-9393,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,31 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年01月09日
,078,株式会社ＳＫ　ＧＬＯＢＡＬ,ｶﾌﾞｼｷｶﾞｲｼｬSK GLOBAL,ＳＫ　ＧＬＯＢＡＬ,542-0066,大阪府大阪市中央区瓦屋町2丁目12-3,,,,,御中,06-4303-4452,06-4303-4453,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年01月28日
,082,オーミケンシ株式会社,ｵｰﾐｹﾝｼｶﾌﾞｼｷｶﾞｲｼｬ,オーミケンシ㈱,541-0048,大阪府大阪市中央区瓦町2-5-14,,,,,御中,06-6205-7116,06-6205-7155,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年03月05日
,085,奥田株式会社,ｵｸﾀﾞｶﾌﾞｼｷｶﾞｲｼｬ,奥田㈱,547-0002,大阪市平野区加美東1丁目9-17,,,,,御中,06-6791-2101,06-6791-2102,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年08月07日
,092,有限会社オリセン,ﾕｳｹﾞﾝｶﾞｲｼｬｵﾘｾﾝ,ﾕｳｹﾞﾝｶﾞｲｼｬｵﾘｾﾝ,929-1172,石川県かほく市松浜ロ14,,,代表取締役,折戸　開成,様,076-285-0339,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年07月11日
