元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
048BA,3/048BA,048BA:ｿﾛﾃｯｸｽW<56T>(EKT) SD 50/ 36 Z                                             ,K,本,2,1,1,1,3,HARA,,,,,1247.6,3,,
103LA,3/103LA,103LA:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z(70ﾟC30)                                     ,K,本,2,1,1,1,3,HARA,,,,,521.7,3,,
111AA,3/111AA,111AA:ﾃｨﾌｨｺTW<167T>150/48(20) SD / Z(ｿｳｼ)                                       ,K,本,2,1,1,1,3,HARA,,,,,428.05,3,,
111RA,3/111RA,111RA:ﾃｨﾌｨｺTW<167T>SD150/48Z(20) / (70ﾟC30)                                     ,K,本,2,1,1,1,3,HARA,,,,,436.1,3,,
119HA,3/119HA,119HA:PPT.W(ｲﾝﾋﾞｽﾀ)<111T> SD 100/ 34 Z(1T207)                                   ,K,本,2,1,1,1,3,HARA,,,,,1139.3,3,,
121KA,3/121KA,121KA:TW<84T> BR 75/ 36 Z (ﾛｯﾄP)                                                ,K,本,2,1,1,1,3,HARA,,,,,160,3,,
124WA,3/124WA,124WA:ﾄｰﾚTW(915)<167T> BR 150/ 48 Zｾｯﾄ70ﾟC30                                    ,K,本,2,1,1,1,3,HARA,,,,,579.05,3,,
128HA,3/128HA,128HA:ﾃｨﾌｨｺTW<167T> BB 150/ 72 Z(LST)                                           ,K,本,2,1,1,1,3,HARA,,,,,477,3,,
131CA,3/131CA,131CA:ﾜﾙﾂ.W<167T>SD150/48Z(Z275) SD / (ｶｲﾘｮｳ) (160D)                            ,K,本,2,1,1,1,3,HARA,,,,,130,3,,
154VA,3/154VA,154VA:PPT.W<165T> SD 147/ 68 Z (1T107)                                          ,K,本,2,1,1,1,3,HARA,,,,,1058.2,3,,
168AA,3/168AA,168AA:TAC(ES)W<84T>BR75/20Z /                                                   ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
182HA,3/182HA,182HA:ﾅﾝﾔT.POYW<128T> SD 115/ 36 Z(86D)                                         ,K,本,2,1,1,1,3,HARA,,,,,473.1,3,,
