コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,,主たる倉庫,,発注連動,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
1/00000,試験糸,ｼｹﾝｼ,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年01月07日
1/003AA,003AA:原糸:南亜EWSD110T144-1H,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年02月06日
1/009AA,009AA:原糸:南亜CD84T144-DTY,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年01月08日
1/011AA,011AA:原糸:南亜WAVE FD84T30DTY,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年05月07日
1/013AA,013AA:原糸:南亜CD84T36DTY 1H,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2014年11月17日
1/016AA,016AA:原糸:南亜EW FD167T48NSY,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年06月04日
1/024BA,024BA:原糸:遠東紡BRCD167T48 1H,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年08月05日
1/034AA,034AA:原糸:東ﾚT SD167T48-D27F,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2016年06月21日
1/035DA,035DA:原糸:ﾘｰﾘSD330T96TA-G,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2014年12月04日
1/035EA,035EA:原糸:ﾘｰﾘSD330T96TA-Xｷｮｳｲﾝﾀｰ,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年03月26日
