コード,名称,フリガナ,略称,郵便番号,住所１,住所２,部署名,役職名,ご担当者,敬称,TEL,FAX,メールアドレス,ホームページ,担当者,,取引区分,単価種類,掛率,請求先,,締グループ,,金額端数処理,税端数処理,税転嫁,与信限度額,売掛残高,回収方法,,,回収サイクル,回収日,手数料負担,サイト,指定売上伝票,指定請求書,宛名ラベル,企業コード,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,参照表示,更新日,請求書合算, 
010,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽｶﾌﾞｼｷｶﾞｲｼｬ,旭化成アドバンス株式会社,105-0004,東京都港区新橋六丁目17番21号,住友不動産御成門駅前ビル,東京事業所 アウターマテリアル事業部,,長谷川,様,03-5643-7872,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,010,旭化成アドバンス株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"-1,728 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,15/03/16住所変更,表示する,2015年04月02日,,
011,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽｶﾌﾞｼｷｶﾞｲｼｬ,旭化成アドバンス株式会社,5308205,大阪府大阪市北区中之島三丁目３番２３号,（中之島ダイビル）,アウターマテリアル事業部第一営業部,課長,遠藤,様,06-7636-3923,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,011,旭化成アドバンス株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"6,255,684 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,2015/3/16電話番号変更,表示する,2015年04月02日,,
013,アスワン株式会社,ｱｽﾜﾝ(ｶﾌﾞ),アスワン㈱,550-0015,大阪府大阪市西区南堀江１－１１－１,三共四ツ橋ビル７Ｆ,ファニシング事業部業務課,主任,田村,様,06-6543-0151,,,,X,上村　茂X,掛売上,売上単価１,100.0 ,013,アスワン株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"690,241 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2016年04月27日,,
053,伊藤忠商事株式会社,ｲﾄｳﾁﾕｳｼﾖｳｼﾞ ｶﾌﾞ,伊藤忠商事㈱,530-8448,大阪府大阪市北区梅田３－１－３,ノースゲートビルディング,テキスタイル・製品部テキスタイル課,,,御中,06-7638-2326,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,053,伊藤忠商事株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
054,伊藤忠商事株式会社,ｲﾄｳﾁｭｳｼｮｳｼﾞ(ｶﾌﾞ),伊藤忠商事㈱,107-0061,東京都港区北青山２－５－１,,ファッションアパレル第１部機能衣料課,,森玉,様,03-3497-2200,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,054,伊藤忠商事株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年07月02日,,
057,伊藤忠商事株式会社　繊維カンパニー,ｲﾄｳﾁｭｳｼｮｳｼﾞｶﾌﾞｼｷｶﾞｲｼｬ,伊藤忠商事㈱　繊維ｶﾝﾊﾟﾆｰ,107-8077,東京都港区北青山２－５－１,,ファッションアパレル第一部アパレル資材課,,中村,様,03-3497-2147,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,057,伊藤忠商事株式会社　繊維カンパニー,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年12月03日,,
064,ウィズオール株式会社,ｳｨｽﾞｵｰﾙ ｶﾌﾞ,ウィズオール㈱,541-0054,大阪府大阪市中央区南本町２－４－１６,デビスビル３Ｆ,繊維部,,,御中,06-6264-7825,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,064,ウィズオール株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
066,株式会社植木機工,ｶﾌﾞｳｴｷｷｺｳ,㈱植木機工,945-1352,新潟県柏崎市安田３９７３－３,,工事部,工事長,植木信昭,様,0257-23-5194,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,066,株式会社植木機工,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
068,株式会社エフビイ,ｶﾌﾞｼｷｶﾞｲｼｬｴﾌﾋﾞｲ,㈱エフビイ,541-0056,大阪府大阪市中央区久太郎町１丁目５番３１,三星中央ビル４階,,社長,桂,様,06-6261-7051,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,068,株式会社エフビイ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,10 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年11月29日,,
070,株式会社エルピージャパン,(ｶﾌﾞ)ｴﾙﾋﾟｰｼﾞｬﾊﾟﾝ,㈱エルピージャパン,541-0054,大阪府大阪市中央区南本町１－２－５,マヤビル第２  ７Ｆ,,,,御中,06-6266-1188,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,070,株式会社エルピージャパン,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"471,108 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
