製品,製品単位,部品,必要量,部品単位
5/102633ZX,反,1/13811,7.8,K
5/102633ZX,反,1/25312,7.21,K
5/113692YX,反,1/13811,15.44,K
5/115769PI,反,1/11691,0.91,K
5/115769PI,反,1/12271,2.18,K
5/115769PI,反,1/12831,1.34,K
5/115769PI,反,1/13241,1.76,K
5/115769PI,反,1/15791,3.35,K
5/115769PI,反,1/17851,1.97,K
5/115769PI,反,1/17891,10.4,K
5/115769PI,反,1/70011,0.67,K
5/115981JA,反,1/047AA,6.13,K
5/115981JA,反,1/048AA,1.75,K
5/115981JA,反,1/049AA,5.37,K
5/115983JA,反,1/047AA,6.59,K
5/115983JA,反,1/048AA,1.65,K
5/115983JA,反,1/049AA,5.07,K
5/116089XE,反,1/15381,11.83,K
5/116089XE,反,1/70041,6.06,K
5/116089XE,反,1/035EA,8.11,K
5/116365JA,反,1/050AA,6.56,K
5/116365JA,反,1/051AA,12.25,K
5/116371YX,反,1/17731,10.54,K
5/116371YX,反,1/17851,11.58,K
5/123127ZE,反,1/10731,3.3,K
5/123127ZE,反,1/11161,5.32,K
5/123127ZE,反,1/25431,17.23,K
5/123127ZF,反,1/10731,3.24,K
5/123127ZF,反,1/11161,5.2,K
5/123127ZF,反,1/25431,16.88,K
5/124614VX,反,1/10291,5.45,K
5/124614VX,反,1/25871,13.91,K
5/126687VX,反,1/10291,3.57,K
5/126687VX,反,1/85141,9.12,K
5/126687ZB,反,1/10151,3.65,K
5/126687ZB,反,1/25871,8.77,K
5/127250JB,反,1/11151,2.73,K
5/127250JB,反,1/25312,2.35,K
5/127250JB,反,1/85181,3.16,K
5/127250JC,反,1/11151,2.8,K
5/127250JC,反,1/85181,5.69,K
5/127250JD,反,1/11151,2.73,K
5/127250JD,反,1/85181,5.55,K
5/130132VX,反,1/12391,4.36,K
5/130132VX,反,1/15791,13.73,K
5/130132VX,反,1/17731,10.18,K
5/130132VX,反,1/17851,1.9,K
5/135239DA,反,1/021AA,1.42,K
5/135239DA,反,1/024BA,11.49,K
5/135392YB,反,1/11151,4.94,K
5/135392YB,反,1/16711,11.08,K
5/135426LD,反,1/17851,11.26,K
5/135426LD,反,1/20341,2.32,K
5/135426LD,反,1/70011,3.8,K
5/135426LD,反,1/011AA,4.92,K
5/135499LX,反,1/12391,1.66,K
5/135499LX,反,1/17731,4.47,K
5/135499LX,反,1/17901,8.8,K
5/135499LX,反,1/20341,4.06,K
5/135499LX,反,1/70061,2.97,K
5/135520LX,反,1/16791,5.03,K
5/135520LX,反,1/24031,2.73,K
5/135520LX,反,1/70051,3.25,K
5/135520LX,反,1/011AA,5.99,K
